repeat,fold,model,n_test,auc,residual
1,1,tangent_lr_full424,118,0.6830188679245283,9.205509233393872e-09
1,1,tangent_mlp_full424,118,0.655732946298984,9.205509233393872e-09
1,1,tangent_lr_bio148,118,0.6760522496371554,3.926169654215798e-09
1,1,tangent_mlp_bio148,118,0.6763425253991292,3.926169654215798e-09
1,2,tangent_lr_full424,122,0.6324856439704676,9.171521424092764e-09
1,2,tangent_mlp_full424,122,0.6346732294230243,9.171521424092764e-09
1,2,tangent_lr_bio148,122,0.6652994257588187,4.249772354928884e-09
1,2,tangent_mlp_bio148,122,0.654361498496035,4.249772354928884e-09
1,3,tangent_lr_full424,110,0.5903411009793988,8.75626745488819e-09
1,3,tangent_mlp_full424,110,0.607565011820331,8.75626745488819e-09
1,3,tangent_lr_bio148,110,0.6004728132387708,3.381081726917776e-09
1,3,tangent_mlp_bio148,110,0.6008105369807497,3.381081726917776e-09
2,1,tangent_lr_full424,116,0.5933634992458522,9.28173793259307e-09
2,1,tangent_mlp_full424,116,0.6027149321266968,9.28173793259307e-09
2,1,tangent_lr_bio148,116,0.6,3.75524592166315e-09
2,1,tangent_mlp_bio148,116,0.615686274509804,3.75524592166315e-09
2,2,tangent_lr_full424,113,0.6572066326530612,8.67185130692136e-09
2,2,tangent_mlp_full424,113,0.6779336734693877,8.67185130692136e-09
2,2,tangent_lr_bio148,113,0.602359693877551,3.360844448947582e-09
2,2,tangent_mlp_bio148,113,0.6227678571428572,3.360844448947582e-09
2,3,tangent_lr_full424,121,0.6068257491675916,9.188076304286267e-09
2,3,tangent_mlp_full424,121,0.6445615982241955,9.188076304286267e-09
2,3,tangent_lr_bio148,121,0.6933962264150942,3.587426543286368e-09
2,3,tangent_mlp_bio148,121,0.6933962264150944,3.587426543286368e-09
3,1,tangent_lr_full424,117,0.6606721698113207,9.117780178631103e-09
3,1,tangent_mlp_full424,117,0.6668632075471699,9.117780178631103e-09
3,1,tangent_lr_bio148,117,0.6465212264150944,3.409430335966854e-09
3,1,tangent_mlp_bio148,117,0.6426886792452831,3.409430335966854e-09
3,2,tangent_lr_full424,115,0.551076923076923,8.856973792330465e-09
3,2,tangent_mlp_full424,115,0.5541538461538462,8.856973792330465e-09
3,2,tangent_lr_bio148,115,0.6378461538461538,3.2533636437512758e-09
3,2,tangent_mlp_bio148,115,0.6138461538461538,3.2533636437512758e-09
3,3,tangent_lr_full424,118,0.5973529411764706,9.254336694674344e-09
3,3,tangent_mlp_full424,118,0.5976470588235294,9.254336694674344e-09
3,3,tangent_lr_bio148,118,0.5876470588235294,3.5661159643633023e-09
3,3,tangent_mlp_bio148,118,0.5914705882352942,3.5661159643633023e-09
4,1,tangent_lr_full424,117,0.697530864197531,9.304028756734518e-09
4,1,tangent_mlp_full424,117,0.692827748383304,9.304028756734518e-09
4,1,tangent_lr_bio148,117,0.5820105820105821,3.987676148826441e-09
4,1,tangent_mlp_bio148,117,0.5875955320399765,3.987676148826441e-09
4,2,tangent_lr_full424,117,0.5440821256038647,8.932811148942886e-09
4,2,tangent_mlp_full424,117,0.5582729468599034,8.932811148942886e-09
4,2,tangent_lr_bio148,117,0.6198671497584541,4.93788254287286e-09
4,2,tangent_mlp_bio148,117,0.6419082125603864,4.93788254287286e-09
4,3,tangent_lr_full424,116,0.6048265460030167,9.226472728485167e-09
4,3,tangent_mlp_full424,116,0.6144796380090497,9.226472728485167e-09
4,3,tangent_lr_bio148,116,0.6280542986425339,4.374964398510555e-09
4,3,tangent_mlp_bio148,116,0.62473604826546,4.374964398510555e-09
5,1,tangent_lr_full424,115,0.5539215686274509,9.095690578954264e-09
5,1,tangent_mlp_full424,115,0.5591299019607843,9.095690578954264e-09
5,1,tangent_lr_bio148,115,0.5560661764705882,3.5378556440421054e-09
5,1,tangent_mlp_bio148,115,0.5551470588235293,3.5378556440421054e-09
5,2,tangent_lr_full424,121,0.6215686274509804,1.0648494451078119e-08
5,2,tangent_mlp_full424,121,0.6072829131652662,1.0648494451078119e-08
5,2,tangent_lr_bio148,121,0.561624649859944,3.912422811821979e-09
5,2,tangent_mlp_bio148,121,0.5957983193277311,3.912422811821979e-09
5,3,tangent_lr_full424,114,0.6342981637099285,9.13413898451596e-09
5,3,tangent_mlp_full424,114,0.6405228758169935,9.13413898451596e-09
5,3,tangent_lr_bio148,114,0.6526610644257703,3.953789566268823e-09
5,3,tangent_mlp_bio148,114,0.6535947712418302,3.953789566268823e-09
