repeat,model,auc
1,tangent_lr_bio148,0.647274829544915
1,tangent_lr_full424,0.6352818709581315
1,tangent_mlp_bio148,0.6438381869586379
1,tangent_mlp_full424,0.6326570625141131
2,tangent_lr_bio148,0.6319186400975484
2,tangent_lr_full424,0.6191319603555017
2,tangent_mlp_bio148,0.6439501193559185
2,tangent_mlp_full424,0.6417367346067601
3,tangent_lr_bio148,0.6240048130282592
3,tangent_lr_full424,0.6030340113549048
3,tangent_mlp_bio148,0.6160018071089103
3,tangent_mlp_full424,0.6062213708415152
4,tangent_lr_bio148,0.6099773434705233
4,tangent_lr_full424,0.6154798452681375
4,tangent_mlp_bio148,0.6180799309552744
4,tangent_mlp_full424,0.6218601110840857
5,tangent_lr_bio148,0.5901172969187675
5,tangent_lr_full424,0.6032627865961199
5,tangent_mlp_bio148,0.6015133831310302
5,tangent_mlp_full424,0.6023118969810146
