repeat,fold,model,auc,within_site_auc
1,1,demographic_lr,0.6187388761759471,0.6293532338308457
1,1,full_covariates_lr,0.733536740401729,0.6756218905472637
1,1,fusion_tangent_lr,0.733536740401729,0.6756218905472637
1,1,fusion_tangent_mlp,0.733536740401729,0.6756218905472637
1,1,site_motion_lr,0.7079837274345283,0.6373134328358209
1,2,demographic_lr,0.6316261203585147,0.6084093211752787
1,2,full_covariates_lr,0.6788732394366196,0.6281661600810537
1,2,fusion_tangent_lr,0.6655569782330345,0.6068895643363729
1,2,fusion_tangent_mlp,0.6617157490396927,0.5987841945288754
1,2,site_motion_lr,0.6376440460947503,0.596757852077001
1,3,demographic_lr,0.6446862996158771,0.7188775510204082
1,3,full_covariates_lr,0.7439180537772088,0.7397959183673469
1,3,fusion_tangent_lr,0.7193341869398207,0.710204081632653
1,3,fusion_tangent_mlp,0.7239436619718309,0.7183673469387755
1,3,site_motion_lr,0.6670934699103713,0.5775510204081632
2,1,demographic_lr,0.6102212051868803,0.5945273631840797
2,1,full_covariates_lr,0.7648105771675566,0.7691542288557214
2,1,fusion_tangent_lr,0.7093821510297483,0.6796019900497512
2,1,fusion_tangent_mlp,0.7401474701245868,0.7213930348258707
2,1,site_motion_lr,0.6892957030256801,0.6547263681592039
2,2,demographic_lr,0.565685019206146,0.5810536980749746
2,2,full_covariates_lr,0.6596670934699103,0.5997973657548127
2,2,fusion_tangent_lr,0.6924455825864276,0.6241134751773049
2,2,fusion_tangent_mlp,0.6957746478873239,0.630192502532928
2,2,site_motion_lr,0.6302176696542894,0.53596757852077
2,3,demographic_lr,0.6341869398207426,0.6341836734693878
2,3,full_covariates_lr,0.6568501920614597,0.5622448979591836
2,3,fusion_tangent_lr,0.6632522407170295,0.6142857142857143
2,3,fusion_tangent_mlp,0.6755441741357234,0.6214285714285716
2,3,site_motion_lr,0.6186939820742637,0.5336734693877551
3,1,demographic_lr,0.6564963132468853,0.6855721393034827
3,1,full_covariates_lr,0.7004830917874395,0.699502487562189
3,1,fusion_tangent_lr,0.7088736333587592,0.6716417910447762
3,1,fusion_tangent_mlp,0.7248919399949147,0.708457711442786
3,1,site_motion_lr,0.6058988049834731,0.5552238805970149
3,2,demographic_lr,0.6008962868117798,0.5628166160081054
3,2,full_covariates_lr,0.7003841229193342,0.6342451874366768
3,2,fusion_tangent_lr,0.7003841229193342,0.6342451874366768
3,2,fusion_tangent_mlp,0.7003841229193342,0.6342451874366768
3,2,site_motion_lr,0.6914212548015365,0.6220871327254306
3,3,demographic_lr,0.6550576184379001,0.6943877551020409
3,3,full_covariates_lr,0.726248399487836,0.6561224489795919
3,3,fusion_tangent_lr,0.7477592829705505,0.7173469387755103
3,3,fusion_tangent_mlp,0.7390524967989757,0.7071428571428572
3,3,site_motion_lr,0.6875800256081945,0.5826530612244898
4,1,demographic_lr,0.6487414187643019,0.6676616915422886
4,1,full_covariates_lr,0.7032799389778794,0.7034825870646766
4,1,fusion_tangent_lr,0.7147215865751335,0.7114427860696517
4,1,fusion_tangent_mlp,0.7195525044495297,0.7074626865671642
4,1,site_motion_lr,0.6211543351131452,0.6079601990049751
4,2,demographic_lr,0.5897567221510883,0.6342451874366768
4,2,full_covariates_lr,0.7070422535211268,0.6534954407294833
4,2,fusion_tangent_lr,0.7134443021766966,0.7031408308004052
4,2,fusion_tangent_mlp,0.6719590268886043,0.6980749746707193
4,2,site_motion_lr,0.6768245838668374,0.6342451874366768
4,3,demographic_lr,0.6366197183098592,0.6331632653061224
4,3,full_covariates_lr,0.7201024327784891,0.6112244897959184
4,3,fusion_tangent_lr,0.7603072983354674,0.7214285714285714
4,3,fusion_tangent_mlp,0.7600512163892446,0.7122448979591837
4,3,site_motion_lr,0.6672215108834827,0.5392857142857143
5,1,demographic_lr,0.6168319349097382,0.672636815920398
5,1,full_covariates_lr,0.6557335367404017,0.6606965174129353
5,1,fusion_tangent_lr,0.6694635138571066,0.6348258706467662
5,1,fusion_tangent_mlp,0.6664124078311722,0.6278606965174129
5,1,site_motion_lr,0.6084413933384185,0.5462686567164178
5,2,demographic_lr,0.6763124199743917,0.6818642350557245
5,2,full_covariates_lr,0.7603072983354673,0.7102330293819655
5,2,fusion_tangent_lr,0.7603072983354673,0.7102330293819655
5,2,fusion_tangent_mlp,0.7603072983354673,0.7102330293819655
5,2,site_motion_lr,0.6537772087067861,0.6099290780141844
5,3,demographic_lr,0.6144686299615877,0.636734693877551
5,3,full_covariates_lr,0.704225352112676,0.6785714285714286
5,3,fusion_tangent_lr,0.7129321382842508,0.6612244897959184
5,3,fusion_tangent_mlp,0.7165172855313701,0.6795918367346939
5,3,site_motion_lr,0.7290653008962867,0.6336734693877552
