repeat,model,auc,within_site_auc
1,demographic_lr,0.6316837653834463,0.6522133686755108
1,full_covariates_lr,0.7187760112051857,0.6811946563318881
1,fusion_tangent_lr,0.7061426351915281,0.6642385121720965
1,fusion_tangent_mlp,0.7063987171377509,0.6642578106716382
1,site_motion_lr,0.67090708114655,0.6038741017736617
2,demographic_lr,0.6033643880712564,0.6032549115761473
2,full_covariates_lr,0.6937759542329754,0.643732164189906
2,fusion_tangent_lr,0.6883599914444019,0.6393337265042568
2,fusion_tangent_mlp,0.7038220973825448,0.6576713695957901
2,site_motion_lr,0.6460691182514111,0.5747891386892431
3,demographic_lr,0.6374834061655217,0.6475921701378763
3,full_covariates_lr,0.7090385380648699,0.6632900413261525
3,fusion_tangent_lr,0.719005679749548,0.674411305752321
3,fusion_tangent_mlp,0.7214428532377415,0.6832819186741066
3,site_motion_lr,0.6616333617977347,0.5866546915156451
4,demographic_lr,0.6250392864084166,0.6450233814283627
4,full_covariates_lr,0.7101415417591651,0.6560675058633594
4,fusion_tangent_lr,0.7294910623624326,0.7120040627662094
4,fusion_tangent_mlp,0.7171875825757928,0.7059275197323558
4,site_motion_lr,0.6550668099544884,0.593830366909122
5,demographic_lr,0.6358709949485726,0.6637452482845578
5,full_covariates_lr,0.7067553957295151,0.6831669917887765
5,fusion_tangent_lr,0.7142343168256082,0.66876112994155
5,fusion_tangent_mlp,0.7144123305660032,0.6725618542113575
5,site_motion_lr,0.6637613009804971,0.5966237347061191
