repeat,fold,model,auc,within_site_auc
1,1,motion_only_lr,0.6723874904652937,0.6393034825870646
1,1,pearson_adjusted_lr,0.6435291126366641,0.5890547263681593
1,1,pearson_lr,0.6226798881261124,0.5711442786069652
1,1,pearson_mlp_ens,0.6089499110094075,0.564179104477612
1,1,site_motion_lr,0.7079837274345283,0.6373134328358209
1,1,site_only_lr,0.6240783117213323,0.5
1,1,tangent_adjusted_lr,0.6720061022120519,0.6338308457711442
1,1,tangent_lr,0.6694635138571066,0.6318407960199005
1,1,tangent_mlp_ens,0.6880244088482075,0.6298507462686567
1,2,motion_only_lr,0.603585147247119,0.5886524822695035
1,2,pearson_adjusted_lr,0.5600512163892446,0.5460992907801419
1,2,pearson_lr,0.5592829705505762,0.5450861195542046
1,2,pearson_mlp_ens,0.5743918053777209,0.5795339412360689
1,2,site_motion_lr,0.6376440460947503,0.596757852077001
1,2,site_only_lr,0.6267605633802817,0.5
1,2,tangent_adjusted_lr,0.6030729833546734,0.5491388044579534
1,2,tangent_lr,0.6007682458386684,0.547112462006079
1,2,tangent_mlp_ens,0.6102432778489116,0.5542046605876393
1,3,motion_only_lr,0.6217669654289373,0.5704081632653062
1,3,pearson_adjusted_lr,0.6348271446862996,0.6112244897959184
1,3,pearson_lr,0.6379001280409731,0.6255102040816326
1,3,pearson_mlp_ens,0.6209987195902689,0.6183673469387755
1,3,site_motion_lr,0.6670934699103713,0.5775510204081632
1,3,site_only_lr,0.6361075544174135,0.5
1,3,tangent_adjusted_lr,0.6028169014084507,0.5214285714285714
1,3,tangent_lr,0.5997439180537771,0.523469387755102
1,3,tangent_mlp_ens,0.6038412291933418,0.5265306122448979
2,1,motion_only_lr,0.6488685481820493,0.6328358208955224
2,1,pearson_adjusted_lr,0.6181032290872108,0.591044776119403
2,1,pearson_lr,0.6181032290872108,0.5920398009950247
2,1,pearson_mlp_ens,0.6376811594202898,0.6029850746268657
2,1,site_motion_lr,0.6892957030256801,0.6547263681592039
2,1,site_only_lr,0.6238240528858378,0.5
2,1,tangent_adjusted_lr,0.6193745232646835,0.5880597014925373
2,1,tangent_lr,0.6214085939486397,0.5930348258706468
2,1,tangent_mlp_ens,0.6346300533943554,0.5950248756218905
2,2,motion_only_lr,0.5994878361075544,0.5258358662613982
2,2,pearson_adjusted_lr,0.5764404609475031,0.5106382978723404
2,2,pearson_lr,0.5523687580025608,0.5136778115501519
2,2,pearson_mlp_ens,0.5354673495518566,0.48024316109422494
2,2,site_motion_lr,0.6302176696542894,0.53596757852077
2,2,site_only_lr,0.631113956466069,0.5
