stage,repeat,fold,image_model,alpha
site_motion_increment,1,1,tangent_lr,0.0
site_motion_increment,1,1,tangent_mlp,0.0
site_motion_increment,1,2,tangent_lr,0.25
site_motion_increment,1,2,tangent_mlp,0.25
site_motion_increment,1,3,tangent_lr,0.25
site_motion_increment,1,3,tangent_mlp,0.25
site_motion_increment,2,1,tangent_lr,0.25
site_motion_increment,2,1,tangent_mlp,0.0
site_motion_increment,2,2,tangent_lr,0.5
site_motion_increment,2,2,tangent_mlp,0.75
site_motion_increment,2,3,tangent_lr,0.25
site_motion_increment,2,3,tangent_mlp,0.75
site_motion_increment,3,1,tangent_lr,0.5
site_motion_increment,3,1,tangent_mlp,0.5
site_motion_increment,3,2,tangent_lr,0.0
site_motion_increment,3,2,tangent_mlp,0.0
site_motion_increment,3,3,tangent_lr,1.0
site_motion_increment,3,3,tangent_mlp,0.75
site_motion_increment,4,1,tangent_lr,0.0
site_motion_increment,4,1,tangent_mlp,0.0
site_motion_increment,4,2,tangent_lr,1.0
site_motion_increment,4,2,tangent_mlp,1.0
site_motion_increment,4,3,tangent_lr,0.75
site_motion_increment,4,3,tangent_mlp,1.0
site_motion_increment,5,1,tangent_lr,0.75
site_motion_increment,5,1,tangent_mlp,0.75
site_motion_increment,5,2,tangent_lr,0.0
site_motion_increment,5,2,tangent_mlp,0.0
site_motion_increment,5,3,tangent_lr,0.25
site_motion_increment,5,3,tangent_mlp,0.25
demographic_increment,1,1,tangent_lr,0.0
demographic_increment,1,1,tangent_mlp,0.0
demographic_increment,1,2,tangent_lr,0.25
demographic_increment,1,2,tangent_mlp,0.25
demographic_increment,1,3,tangent_lr,0.25
demographic_increment,1,3,tangent_mlp,0.25
demographic_increment,2,1,tangent_lr,0.75
demographic_increment,2,1,tangent_mlp,0.5
demographic_increment,2,2,tangent_lr,0.5
demographic_increment,2,2,tangent_mlp,0.5
demographic_increment,2,3,tangent_lr,0.25
demographic_increment,2,3,tangent_mlp,0.5
demographic_increment,3,1,tangent_lr,0.75
demographic_increment,3,1,tangent_mlp,0.75
demographic_increment,3,2,tangent_lr,0.0
demographic_increment,3,2,tangent_mlp,0.0
demographic_increment,3,3,tangent_lr,0.5
demographic_increment,3,3,tangent_mlp,0.5
demographic_increment,4,1,tangent_lr,0.25
demographic_increment,4,1,tangent_mlp,0.25
demographic_increment,4,2,tangent_lr,0.5
demographic_increment,4,2,tangent_mlp,0.75
demographic_increment,4,3,tangent_lr,0.25
demographic_increment,4,3,tangent_mlp,0.25
demographic_increment,5,1,tangent_lr,0.75
demographic_increment,5,1,tangent_mlp,0.75
demographic_increment,5,2,tangent_lr,0.0
demographic_increment,5,2,tangent_mlp,0.0
demographic_increment,5,3,tangent_lr,0.25
demographic_increment,5,3,tangent_mlp,0.75
