repeat,fold,model,auc,within_site_auc
1,1,fusion_tangent_lr,0.7079837274345283,0.6373134328358209
1,1,fusion_tangent_mlp,0.7079837274345283,0.6373134328358209
1,1,site_motion_lr,0.7079837274345283,0.6373134328358209
1,1,tangent_lr,0.6694635138571066,0.6318407960199005
1,1,tangent_mlp,0.6880244088482075,0.6298507462686567
1,2,fusion_tangent_lr,0.6286811779769526,0.5643363728470111
1,2,fusion_tangent_mlp,0.636619718309859,0.5835866261398176
1,2,site_motion_lr,0.6376440460947503,0.596757852077001
1,2,tangent_lr,0.6007682458386684,0.547112462006079
1,2,tangent_mlp,0.6102432778489116,0.5542046605876393
1,3,fusion_tangent_lr,0.676056338028169,0.6051020408163266
1,3,fusion_tangent_mlp,0.6750320102432779,0.613265306122449
1,3,site_motion_lr,0.6670934699103713,0.5775510204081632
1,3,tangent_lr,0.5997439180537771,0.523469387755102
1,3,tangent_mlp,0.6038412291933418,0.5265306122448979
2,1,fusion_tangent_lr,0.7032799389778794,0.6676616915422886
2,1,fusion_tangent_mlp,0.6892957030256801,0.6547263681592039
2,1,site_motion_lr,0.6892957030256801,0.6547263681592039
2,1,tangent_lr,0.6214085939486397,0.5930348258706468
2,1,tangent_mlp,0.6346300533943554,0.5950248756218905
2,2,fusion_tangent_lr,0.6619718309859155,0.5764944275582573
2,2,fusion_tangent_mlp,0.6586427656850192,0.5734549138804458
2,2,site_motion_lr,0.6302176696542894,0.53596757852077
2,2,tangent_lr,0.6496798975672216,0.5886524822695035
2,2,tangent_mlp,0.6527528809218951,0.585612968591692
2,3,fusion_tangent_lr,0.643021766965429,0.5989795918367347
2,3,fusion_tangent_mlp,0.6583866837387964,0.6224489795918368
2,3,site_motion_lr,0.6186939820742637,0.5336734693877551
2,3,tangent_lr,0.6222791293213829,0.6020408163265306
2,3,tangent_mlp,0.6499359795134443,0.6377551020408163
3,1,fusion_tangent_lr,0.6666666666666666,0.6268656716417911
3,1,fusion_tangent_mlp,0.6651411136536994,0.6318407960199005
3,1,site_motion_lr,0.6058988049834731,0.5552238805970149
3,1,tangent_lr,0.673531655225019,0.6238805970149254
3,1,tangent_mlp,0.6842105263157895,0.6487562189054726
3,2,fusion_tangent_lr,0.6914212548015365,0.6220871327254306
3,2,fusion_tangent_mlp,0.6914212548015365,0.6220871327254306
3,2,site_motion_lr,0.6914212548015365,0.6220871327254306
3,2,tangent_lr,0.5549295774647888,0.49746707193515705
3,2,tangent_mlp,0.5992317541613316,0.5339412360688957
3,3,fusion_tangent_lr,0.6862996158770807,0.6979591836734695
3,3,fusion_tangent_mlp,0.6916773367477592,0.6795918367346939
3,3,site_motion_lr,0.6875800256081945,0.5826530612244898
3,3,tangent_lr,0.6862996158770807,0.6979591836734695
3,3,tangent_mlp,0.677336747759283,0.676530612244898
4,1,fusion_tangent_lr,0.6211543351131452,0.6079601990049751
4,1,fusion_tangent_mlp,0.6211543351131452,0.6079601990049751
4,1,site_motion_lr,0.6211543351131452,0.6079601990049751
4,1,tangent_lr,0.6323417238749047,0.6179104477611941
4,1,tangent_mlp,0.6333587592168828,0.6149253731343284
4,2,fusion_tangent_lr,0.6192061459667093,0.6616008105369807
4,2,fusion_tangent_mlp,0.6358514724711908,0.6686930091185409
4,2,site_motion_lr,0.6768245838668374,0.6342451874366768
4,2,tangent_lr,0.6192061459667093,0.6616008105369807
4,2,tangent_mlp,0.6358514724711908,0.6686930091185409
4,3,fusion_tangent_lr,0.7226632522407171,0.7183673469387755
4,3,fusion_tangent_mlp,0.7026888604353394,0.6908163265306123
4,3,site_motion_lr,0.6672215108834827,0.5392857142857143
4,3,tangent_lr,0.7011523687580025,0.7071428571428572
4,3,tangent_mlp,0.7026888604353394,0.6908163265306123
5,1,fusion_tangent_lr,0.6519196542079838,0.5880597014925373
5,1,fusion_tangent_mlp,0.6516653953724891,0.591044776119403
5,1,site_motion_lr,0.6084413933384185,0.5462686567164178
5,1,tangent_lr,0.6308161708619374,0.5691542288557214
5,1,tangent_mlp,0.6313246885329266,0.565174129353234
5,2,fusion_tangent_lr,0.6537772087067861,0.6099290780141844
5,2,fusion_tangent_mlp,0.6537772087067861,0.6099290780141844
5,2,site_motion_lr,0.6537772087067861,0.6099290780141844
5,2,tangent_lr,0.5818181818181818,0.5390070921985817
5,2,tangent_mlp,0.5918053777208706,0.5450861195542046
5,3,fusion_tangent_lr,0.7247119078104994,0.6448979591836734
5,3,fusion_tangent_mlp,0.7408450704225352,0.6581632653061225
5,3,site_motion_lr,0.7290653008962867,0.6336734693877552
5,3,tangent_lr,0.6850192061459667,0.6112244897959184
5,3,tangent_mlp,0.6837387964148528,0.6265306122448979
