repeat,model,auc,within_site_auc
1,fusion_tangent_lr,0.67090708114655,0.6022506154997195
1,fusion_tangent_mlp,0.673211818662555,0.6113884550326958
1,site_motion_lr,0.67090708114655,0.6038741017736617
1,tangent_lr,0.6233252259165174,0.5674742152603605
1,tangent_mlp,0.6340363052968203,0.5701953397003979
2,fusion_tangent_lr,0.6694245123097412,0.6143785703124268
2,fusion_tangent_mlp,0.6687750508164986,0.6168767538771621
2,site_motion_lr,0.6460691182514111,0.5747891386892431
2,tangent_lr,0.6311225402790813,0.5945760414888936
2,tangent_mlp,0.645772971276565,0.6061309820847997
3,fusion_tangent_lr,0.6814625124484279,0.6489706626802304
3,fusion_tangent_mlp,0.6827465684009985,0.6445065884933417
3,site_motion_lr,0.6616333617977347,0.5866546915156451
3,tangent_lr,0.6382536161889628,0.6064356175411839
3,tangent_mlp,0.6535930094121346,0.6197426890730887
4,fusion_tangent_lr,0.6543412444401905,0.6626427854935771
4,fusion_tangent_mlp,0.6532315560065585,0.6558231782180428
4,site_motion_lr,0.6550668099544884,0.593830366909122
4,tangent_lr,0.6509000795332055,0.662218038480344
4,tangent_mlp,0.657299697374471,0.6581449029278272
5,fusion_tangent_lr,0.6768029235750898,0.614295579563465
5,fusion_tangent_mlp,0.6820958915006035,0.6197123731465699
5,site_motion_lr,0.6637613009804971,0.5966237347061191
5,tangent_lr,0.632551186275362,0.5731286036167406
5,tangent_mlp,0.6356229542228834,0.5789302870507789
