repeat,fold,model,best_epoch,epochs_run,best_val_auc,parameters
1,1,pearson_mlp_seed1201,20,32,0.5846394984326019,65121
1,1,pearson_mlp_seed2201,21,33,0.6050156739811913,65121
1,1,pearson_mlp_seed3201,21,33,0.6206896551724138,65121
1,1,tangent_mlp_seed1201,1,13,0.5768025078369906,65121
1,1,tangent_mlp_seed2201,1,13,0.6347962382445141,65121
1,1,tangent_mlp_seed3201,15,27,0.5470219435736677,65121
1,2,pearson_mlp_seed1202,4,16,0.5791925465838509,65121
1,2,pearson_mlp_seed2202,1,13,0.5869565217391304,65121
1,2,pearson_mlp_seed3202,2,14,0.5714285714285714,65121
1,2,tangent_mlp_seed1202,18,30,0.6661490683229814,65121
1,2,tangent_mlp_seed2202,21,33,0.6459627329192547,65121
1,2,tangent_mlp_seed3202,14,26,0.6987577639751553,65121
1,3,pearson_mlp_seed1203,1,13,0.6319875776397516,65121
1,3,pearson_mlp_seed2203,1,13,0.6273291925465838,65121
1,3,pearson_mlp_seed3203,2,14,0.6381987577639752,65121
1,3,tangent_mlp_seed1203,2,14,0.718944099378882,65121
1,3,tangent_mlp_seed2203,39,51,0.7236024844720497,65121
1,3,tangent_mlp_seed3203,23,35,0.7251552795031057,65121
2,1,pearson_mlp_seed1201,3,15,0.7382445141065831,65121
2,1,pearson_mlp_seed2201,5,17,0.7210031347962382,65121
2,1,pearson_mlp_seed3201,2,14,0.7225705329153604,65121
2,1,tangent_mlp_seed1201,11,23,0.6755485893416928,65121
2,1,tangent_mlp_seed2201,11,23,0.6818181818181818,65121
2,1,tangent_mlp_seed3201,4,16,0.6818181818181819,65121
2,2,pearson_mlp_seed1202,31,43,0.6273291925465838,65121
2,2,pearson_mlp_seed2202,11,23,0.6288819875776398,65121
2,2,pearson_mlp_seed3202,15,27,0.6164596273291926,65121
2,2,tangent_mlp_seed1202,1,13,0.6164596273291926,65121
2,2,tangent_mlp_seed2202,7,19,0.59472049689441,65121
2,2,tangent_mlp_seed3202,1,13,0.6288819875776398,65121
2,3,pearson_mlp_seed1203,2,14,0.56055900621118,65121
2,3,pearson_mlp_seed2203,1,13,0.5729813664596274,65121
2,3,pearson_mlp_seed3203,1,13,0.5559006211180124,65121
2,3,tangent_mlp_seed1203,1,13,0.6692546583850931,65121
2,3,tangent_mlp_seed2203,1,13,0.6335403726708074,65121
2,3,tangent_mlp_seed3203,3,15,0.6335403726708074,65121
3,1,pearson_mlp_seed1201,7,19,0.8040752351097179,65121
3,1,pearson_mlp_seed2201,4,16,0.8119122257053292,65121
3,1,pearson_mlp_seed3201,6,18,0.7993730407523512,65121
3,1,tangent_mlp_seed1201,1,13,0.7351097178683386,65121
3,1,tangent_mlp_seed2201,5,17,0.6379310344827587,65121
3,1,tangent_mlp_seed3201,1,13,0.7523510971786834,65121
3,2,pearson_mlp_seed1202,14,26,0.6428571428571429,65121
3,2,pearson_mlp_seed2202,15,27,0.6397515527950309,65121
3,2,pearson_mlp_seed3202,20,32,0.6381987577639752,65121
3,2,tangent_mlp_seed1202,18,30,0.5760869565217391,65121
3,2,tangent_mlp_seed2202,5,17,0.5605590062111802,65121
3,2,tangent_mlp_seed3202,3,15,0.5822981366459627,65121
3,3,pearson_mlp_seed1203,15,27,0.6428571428571428,65121
3,3,pearson_mlp_seed2203,15,27,0.6630434782608695,65121
3,3,pearson_mlp_seed3203,19,31,0.6692546583850931,65121
3,3,tangent_mlp_seed1203,2,14,0.7220496894409939,65121
3,3,tangent_mlp_seed2203,4,16,0.6972049689440993,65121
3,3,tangent_mlp_seed3203,3,15,0.7127329192546584,65121
4,1,pearson_mlp_seed1201,1,13,0.6018808777429467,65121
4,1,pearson_mlp_seed2201,1,13,0.603448275862069,65121
4,1,pearson_mlp_seed3201,1,13,0.603448275862069,65121
4,1,tangent_mlp_seed1201,2,14,0.6410658307210032,65121
4,1,tangent_mlp_seed2201,3,15,0.6253918495297807,65121
4,1,tangent_mlp_seed3201,2,14,0.6253918495297806,65121
4,2,pearson_mlp_seed1202,45,57,0.625776397515528,65121
4,2,pearson_mlp_seed2202,11,23,0.6071428571428571,65121
4,2,pearson_mlp_seed3202,44,56,0.6444099378881988,65121
4,2,tangent_mlp_seed1202,24,36,0.6521739130434783,65121
4,2,tangent_mlp_seed2202,8,20,0.672360248447205,65121
4,2,tangent_mlp_seed3202,1,13,0.6754658385093167,65121
4,3,pearson_mlp_seed1203,6,18,0.7484472049689441,65121
4,3,pearson_mlp_seed2203,7,19,0.748447204968944,65121
4,3,pearson_mlp_seed3203,6,18,0.7562111801242236,65121
4,3,tangent_mlp_seed1203,2,14,0.7468944099378882,65121
4,3,tangent_mlp_seed2203,6,18,0.7515527950310559,65121
