cohort,site,n,adhd,control
primary,KKI,82,22,60
primary,NYU,139,77,62
primary,NeuroIMAGE,28,13,15
primary,OHSU,32,13,19
primary,Peking_1,49,16,33
primary,Peking_2,14,9,5
primary,Peking_3,6,3,3
warning_free,KKI,72,15,57
warning_free,NYU,113,60,53
warning_free,NeuroIMAGE,26,11,15
warning_free,OHSU,26,9,17
warning_free,Peking_1,48,15,33
warning_free,Peking_2,13,8,5
warning_free,Peking_3,4,2,2
include_holds,KKI,82,22,60
include_holds,NYU,160,88,72
include_holds,NeuroIMAGE,29,14,15
include_holds,OHSU,34,13,21
include_holds,Peking_1,50,16,34
include_holds,Peking_2,14,9,5
include_holds,Peking_3,6,3,3
