model,mean_auc,min_repeat_auc,max_repeat_auc,within_site_auc,mean_ap,mean_brier
full_covariates_lr,0.7083955344503131,0.6946868371699969,0.7185674853239062,0.6686694327232753,0.6657106342178281,0.22468381997760556
full_covariates_tiv_lr,0.7109092603472711,0.6933106200762865,0.7260424516465666,0.6686212838895582,0.665211443609014,0.22061974388550834
full_functional_lr,0.7092513551033612,0.6925065225687801,0.730962322021722,0.6710854383210434,0.6494881296625392,0.22365181473824203
full_functional_mlp,0.7077597987875344,0.6972898754946112,0.7247983288399701,0.6657871771460292,0.6482536072649212,0.22382190591346748
full_functional_tiv_mlp,0.7105670327558791,0.7018836534554028,0.7251542019402807,0.669701228095603,0.651347314449054,0.21948087859294016
full_fusion_lr,0.6960221906331873,0.6793509065911597,0.716280290438282,0.6634253055682737,0.6404644820550105,0.22607653621233642
full_fusion_mlp,0.6982424673611998,0.679721381368026,0.7110552643926802,0.662605432334416,0.6409660363543734,0.2258197507633896
full_fusion_structural_mlp,0.7052723506473569,0.6885589877527009,0.7287997786160676,0.6610672250839047,0.6495361965900047,0.22564608734281544
full_fusion_tiv_mlp,0.7010913855472161,0.6871540808195048,0.7122647439804002,0.664551711501122,0.642340292354903,0.22368088994489863
image_fusion_lr,0.6407607944264182,0.623077530641373,0.665192803726178,0.6087994046416653,0.5897725260005346,0.2494421070829645
image_fusion_mlp,0.6454238732815567,0.6206510129304247,0.6709094438784172,0.6166730007656578,0.5859283836995042,0.2447279525398829
structural_lr,0.6139999914482409,0.5767197128768518,0.6400336901612672,0.5793879474165617,0.5591726689595795,0.2805056780498404
structural_mlp,0.6365145676974235,0.5951463410090171,0.6637935135332563,0.5936031725146627,0.5773266154346798,0.2588826175666233
structural_tiv_lr,0.6179554834662324,0.58166548807601,0.6392108311053354,0.5826275668608972,0.5612945406838381,0.2745403984324144
tangent_lr,0.6374751652572772,0.6270187773501775,0.647020528970927,0.6029889491233039,0.5825204916355375,0.24488351753015108
tangent_mlp,0.6397859596400297,0.6339723617668246,0.6451030955164451,0.6027024000296036,0.580340015296495,0.2419417000376932
tiv_lr,0.5111201866052408,0.48190955165202615,0.5286464386226958,0.5120013457329178,0.4495664135869396,0.2501250660726872
