model,mean_auc,min_repeat_auc,max_repeat_auc,within_site_auc,mean_ap,mean_brier
full_covariates_lr,0.7102754491549421,0.6934473904462607,0.7204803097809224,0.6688616326654252,0.6748202728316557,0.22356644069904816
full_covariates_tiv_lr,0.7115063824769622,0.7001199639265479,0.7240600024290877,0.672874505441454,0.6742609409485587,0.22248110578794122
full_functional_lr,0.6939775930672918,0.6657012841421038,0.7155868337175219,0.6541902951702487,0.6428929069882316,0.22761333517907797
full_functional_mlp,0.7035151693306192,0.6845638370248922,0.7177881649239516,0.6598916178898003,0.655869904163397,0.22441456682185335
full_functional_tiv_mlp,0.7065179387228773,0.69229359619997,0.7186967927542901,0.6615448000961704,0.6586498218715816,0.2237433930141129
full_fusion_lr,0.6865638817308503,0.6660593452426932,0.7155868337175219,0.6508402515880743,0.6360920729245824,0.2329318895456068
full_fusion_mlp,0.6923188143168779,0.6822681074122925,0.711277270269501,0.6517289330442657,0.6401916550383678,0.2271279843216698
full_fusion_structural_mlp,0.692124262371625,0.6780180127606599,0.7098032136657276,0.6468495319694012,0.643455933809894,0.2295148104602655
full_fusion_tiv_mlp,0.6981631824564694,0.6897257981718562,0.7139151370272346,0.6556730461380156,0.6455729764975817,0.2260713141541705
image_fusion_lr,0.6321311409649853,0.6129064109678705,0.6450182850918145,0.5978828038094385,0.5736023947207312,0.258402071074802
image_fusion_mlp,0.6403158901767254,0.6222215913941774,0.6557166922163157,0.6062330742869358,0.5766584397388375,0.2581367897683543
structural_lr,0.617601109801455,0.5724259298784826,0.6439605642551555,0.5808662668465138,0.558556050708314,0.2856967814854249
structural_mlp,0.6255664731290491,0.5977832856654999,0.6456692862330118,0.5809334987905844,0.5626381644456128,0.25498663482024986
structural_tiv_lr,0.6140529538986375,0.570909167876149,0.6357363315696649,0.5786680614327306,0.5574684545864079,0.29480536999717616
tangent_lr,0.615238094906559,0.6030340113549048,0.6352818709581315,0.5737707600144459,0.5580171859589711,0.2513687443712703
tangent_mlp,0.6204588868030966,0.6136164435219564,0.6390110555591371,0.5801378754765734,0.5584253095125569,0.25235268435286323
tiv_lr,0.5014702692579058,0.4415000259363005,0.5299226808526991,0.5044065633543451,0.4429293748223112,0.2503269235873845
