repeat,fold,model,n,auc,within_site_auc,ap,balanced_accuracy,brier
1,1,full_covariates_lr,105,0.7395678092399404,0.6885496183206107,0.69120454521684,0.6240685543964233,0.23104138899647858
1,1,full_covariates_tiv_lr,105,0.7321162444113263,0.6931297709923664,0.7050128849785156,0.6700819672131147,0.21681902750474313
1,1,full_functional_lr,105,0.7395678092399404,0.6885496183206107,0.69120454521684,0.6240685543964233,0.23104138899647858
1,1,full_functional_mlp,105,0.7395678092399404,0.6885496183206107,0.69120454521684,0.6240685543964233,0.23104138899647858
1,1,full_functional_tiv_mlp,105,0.7321162444113263,0.6931297709923664,0.7050128849785156,0.6700819672131147,0.21681902750474313
1,1,full_fusion_lr,105,0.6777198211624441,0.6458015267175573,0.5969644490712143,0.5583084947839047,0.31129010702110865
1,1,full_fusion_mlp,105,0.6777198211624441,0.6458015267175573,0.5969644490712143,0.5583084947839047,0.31129010702110865
1,1,full_fusion_structural_mlp,105,0.6643070044709389,0.5923664122137404,0.592311420947532,0.6246274217585692,0.23164078688555056
1,1,full_fusion_tiv_mlp,105,0.6464232488822652,0.6183206106870229,0.5318290253386425,0.5387481371087929,0.38658734665774774
1,1,image_fusion_lr,105,0.6464232488822652,0.6183206106870229,0.5318290253386425,0.5387481371087929,0.38658734665774774
1,1,image_fusion_mlp,105,0.6464232488822652,0.6183206106870229,0.5318290253386425,0.5387481371087929,0.38658734665774774
1,1,structural_lr,105,0.6464232488822652,0.6183206106870229,0.5318290253386425,0.5387481371087929,0.38658734665774774
1,1,structural_mlp,105,0.6482861400894189,0.5847328244274809,0.5667539712778786,0.6164307004470939,0.23778079487081716
1,1,structural_tiv_lr,105,0.6475409836065573,0.6259541984732825,0.5273282232265091,0.569672131147541,0.37953658909294835
1,1,tangent_lr,105,0.6121460506706409,0.5450381679389313,0.5408811723066976,0.5741430700447094,0.2795916126485606
1,1,tangent_mlp,105,0.5964977645305514,0.5557251908396946,0.5145763494020552,0.6000372578241431,0.2508353954896409
1,1,tiv_lr,105,0.4560357675111773,0.4900763358778626,0.36784469261105285,0.5085692995529061,0.25165976103358295
1,2,full_covariates_lr,103,0.6687647521636508,0.6135181975736569,0.6326048492788767,0.5995279307631787,0.2365032309141482
1,2,full_covariates_tiv_lr,103,0.6797797010228167,0.610051993067591,0.6139287900719343,0.6317859952793077,0.2297125970154147
1,2,full_functional_lr,103,0.6687647521636508,0.6135181975736569,0.6326048492788767,0.5995279307631787,0.2365032309141482
1,2,full_functional_mlp,103,0.6687647521636508,0.6135181975736569,0.6326048492788767,0.5995279307631787,0.2365032309141482
1,2,full_functional_tiv_mlp,103,0.6797797010228167,0.610051993067591,0.6139287900719343,0.6317859952793077,0.2297125970154147
1,2,full_fusion_lr,103,0.6809598741148702,0.6152512998266898,0.6149674016280806,0.5953973249409914,0.2343756713982975
1,2,full_fusion_mlp,103,0.6809598741148702,0.6152512998266898,0.6149674016280806,0.5953973249409914,0.2343756713982975
1,2,full_fusion_structural_mlp,103,0.6687647521636508,0.6135181975736569,0.6326048492788767,0.5995279307631787,0.2365032309141482
1,2,full_fusion_tiv_mlp,103,0.6821400472069237,0.6065857885615251,0.6149667649222942,0.5993312352478364,0.22628508572717823
1,2,image_fusion_lr,103,0.6148701809598741,0.5407279029462737,0.4785250902257946,0.5627458693941778,0.23705935612839416
1,2,image_fusion_mlp,103,0.6148701809598741,0.5407279029462737,0.4785250902257946,0.5627458693941778,0.23705935612839416
1,2,structural_lr,103,0.6148701809598741,0.5407279029462737,0.4785250902257946,0.5627458693941778,0.23705935612839416
1,2,structural_mlp,103,0.6085759244689221,0.5684575389948006,0.4845298171556231,0.5786782061369,0.25553776746833556
1,2,structural_tiv_lr,103,0.6140833988985052,0.5424610051993067,0.47809305471856167,0.5627458693941778,0.2371548398318021
1,2,tangent_lr,103,0.6239181746656177,0.5788561525129983,0.5253228778954293,0.5989378442171518,0.2356910586606492
1,2,tangent_mlp,103,0.6227380015735641,0.5805892547660312,0.5248883897838904,0.6113296616837136,0.28534759249676706
1,2,tiv_lr,103,0.5664830841856806,0.5493934142114385,0.48313626491241785,0.5542879622344611,0.24969478408580242
1,3,full_covariates_lr,94,0.7394673123486681,0.6878048780487804,0.6481809116946793,0.6760290556900727,0.21137444510590522
1,3,full_covariates_tiv_lr,94,0.7559322033898306,0.6951219512195121,0.664524360994192,0.701452784503632,0.1976251674818019
1,3,full_functional_lr,94,0.6765133171912833,0.6487804878048781,0.5855004272737042,0.6309927360774819,0.22787296373734406
1,3,full_functional_mlp,94,0.7012106537530266,0.7146341463414634,0.6217429053918719,0.625181598062954,0.22248884153570045
1,3,full_functional_tiv_mlp,94,0.7186440677966102,0.7121951219512195,0.6365292888447963,0.6648910411622275,0.21356867504217952
1,3,full_fusion_lr,94,0.6765133171912833,0.6487804878048781,0.5855004272737042,0.6309927360774819,0.22787296373734406
1,3,full_fusion_mlp,94,0.7012106537530266,0.7146341463414634,0.6217429053918719,0.625181598062954,0.22248884153570045
1,3,full_fusion_structural_mlp,94,0.7012106537530266,0.7146341463414634,0.6217429053918719,0.625181598062954,0.22248884153570045
1,3,full_fusion_tiv_mlp,94,0.7322033898305085,0.7341463414634146,0.6583180927864055,0.6506053268765133,0.21251426163077497
1,3,image_fusion_lr,94,0.6469733656174335,0.5951219512195122,0.5058842350986641,0.6024213075060533,0.23584066309900895
1,3,image_fusion_mlp,94,0.6832929782082324,0.5853658536585366,0.5273716824555928,0.6278450363196126,0.22719377041693484
1,3,structural_lr,94,0.6595641646489104,0.551219512195122,0.5174478529999648,0.6019370460048425,0.2298277387798907
1,3,structural_mlp,94,0.653268765133172,0.5390243902439025,0.5366519850122277,0.6077481840193704,0.23083613607700007
1,3,structural_tiv_lr,94,0.660048426150121,0.551219512195122,0.5183932311512253,0.5934624697336561,0.22982148367644775
1,3,tangent_lr,94,0.6077481840193705,0.5829268292682926,0.46964887045399817,0.5399515738498789,0.26422236188872394
1,3,tangent_mlp,94,0.6295399515738499,0.6170731707317073,0.49464870165855945,0.5542372881355933,0.25127713608197166
1,3,tiv_lr,94,0.5399515738498789,0.5439024390243903,0.41842526862661966,0.5372881355932203,0.2500086821411663
2,1,full_covariates_lr,98,0.738374619730552,0.6790606653620352,0.6401146024370701,0.6977401129943502,0.2046080666561695
2,1,full_covariates_tiv_lr,98,0.750108648413733,0.7103718199608611,0.6677129174017304,0.7020860495436767,0.20353627619656064
2,1,full_functional_lr,98,0.7379400260756194,0.700587084148728,0.6299568791764245,0.6892655367231638,0.20618465163725228
2,1,full_functional_mlp,98,0.737070838765754,0.7025440313111546,0.618934845705138,0.6807909604519774,0.20608738369284485
2,1,full_functional_tiv_mlp,98,0.7144719687092569,0.6947162426614482,0.5968186692008878,0.6723163841807909,0.2144390326131479
2,1,full_fusion_lr,98,0.7314211212516297,0.700587084148728,0.6285875301060331,0.676445023902651,0.2041750841284207
2,1,full_fusion_mlp,98,0.7318557149065623,0.6986301369863014,0.6290348047399331,0.6720990873533246,0.20378491593580117
2,1,full_fusion_structural_mlp,98,0.6618861364624076,0.598825831702544,0.5480351700022151,0.5997392438070404,0.23718752518864294
2,1,full_fusion_tiv_mlp,98,0.6449369839200347,0.6262230919765166,0.5328583964126941,0.569534984789222,0.28812381147468413
2,1,image_fusion_lr,98,0.5910473707083876,0.5714285714285714,0.47421676011593256,0.569534984789222,0.2963318192693952
2,1,image_fusion_mlp,98,0.5945241199478488,0.5851272015655578,0.48244097090630894,0.5780095610604086,0.2955682048803634
2,1,structural_lr,98,0.5523685354193828,0.5440313111545988,0.4721839181671133,0.569534984789222,0.3690934683394703
2,1,structural_mlp,98,0.5940895262929161,0.5244618395303327,0.4792030031070613,0.595393307257714,0.26614818048607936
2,1,structural_tiv_lr,98,0.5575836592785746,0.5303326810176126,0.46819572050169594,0.5736636245110821,0.3299539776195725
2,1,tangent_lr,98,0.5745328118209474,0.5831702544031311,0.484921092188729,0.5232507605388961,0.24496912312674649
2,1,tangent_mlp,98,0.5836592785745328,0.5851272015655578,0.4861190969725689,0.5189048239895697,0.254220411231221
2,1,tiv_lr,98,0.5254237288135595,0.5362035225048923,0.4123916268658272,0.5063016079965232,0.24983451427670925
2,2,full_covariates_lr,102,0.6285714285714286,0.5776614310645725,0.5490840580422541,0.5583333333333333,0.24849257569927977
2,2,full_covariates_tiv_lr,102,0.6404761904761904,0.5881326352530541,0.5754460495495821,0.5869047619047619,0.24486435277953023
2,2,full_functional_lr,102,0.655952380952381,0.5933682373472948,0.5444759505143374,0.5833333333333333,0.22949476652193676
2,2,full_functional_mlp,102,0.6658730158730158,0.6055846422338569,0.5605163444470896,0.6285714285714286,0.22770786773075677
2,2,full_functional_tiv_mlp,102,0.6698412698412698,0.6143106457242583,0.5658828669284884,0.6404761904761904,0.22681047437454274
2,2,full_fusion_lr,102,0.6623015873015873,0.6003490401396162,0.5587578802170967,0.611904761904762,0.22799870337472428
2,2,full_fusion_mlp,102,0.6797619047619048,0.6073298429319371,0.5854095614863235,0.6154761904761905,0.22850821570694577
2,2,full_fusion_structural_mlp,102,0.6726190476190477,0.6073298429319371,0.5702939031182112,0.6238095238095238,0.2290443482577008
2,2,full_fusion_tiv_mlp,102,0.6849206349206349,0.6212914485165794,0.5902431184691717,0.6190476190476191,0.22784254380350114
2,2,image_fusion_lr,102,0.655952380952381,0.6073298429319371,0.5612379079104232,0.5952380952380952,0.2312072326884227
2,2,image_fusion_mlp,102,0.6738095238095237,0.6282722513089006,0.5713142384178651,0.6071428571428572,0.23201623408898542
2,2,structural_lr,102,0.5988095238095238,0.5654450261780105,0.5132696743228443,0.5416666666666667,0.23843421417094146
2,2,structural_mlp,102,0.5777777777777777,0.5479930191972078,0.4908642150125781,0.5785714285714285,0.25149069026455795
2,2,structural_tiv_lr,102,0.5972222222222222,0.5654450261780105,0.5122639245494246,0.5416666666666667,0.2384158553560143
2,2,tangent_lr,102,0.6198412698412699,0.5776614310645725,0.49682270722757943,0.5988095238095239,0.24401674362624906
2,2,tangent_mlp,102,0.6638888888888889,0.612565445026178,0.5217409767118429,0.6273809523809524,0.23204163731185445
2,2,tiv_lr,102,0.5194444444444444,0.49912739965095987,0.4349949278589845,0.5119047619047619,0.24985133971609702
2,3,full_covariates_lr,102,0.6308506308506308,0.46238532110091746,0.4726939792773878,0.6538461538461539,0.24308520739505268
2,3,full_covariates_tiv_lr,102,0.6312576312576312,0.4660550458715596,0.4701020094754966,0.6715506715506716,0.24331638586201704
2,3,full_functional_lr,102,0.6544566544566544,0.5009174311926605,0.4623472680160376,0.6684981684981686,0.2346434529057172
2,3,full_functional_mlp,102,0.6638176638176638,0.5302752293577981,0.47742273668291957,0.6733821733821734,0.2343289164265597
2,3,full_functional_tiv_mlp,102,0.6544566544566545,0.5100917431192661,0.46992202858976234,0.6526251526251526,0.23440350722950432
2,3,full_fusion_lr,102,0.6544566544566544,0.5009174311926605,0.4623472680160376,0.6684981684981686,0.2346434529057172
2,3,full_fusion_mlp,102,0.6638176638176638,0.5302752293577981,0.47742273668291957,0.6733821733821734,0.2343289164265597
