repeat,model,auc,within_site_auc,ap,balanced_accuracy,brier
1,full_covariates_lr,0.7159332912507531,0.663290897981016,0.6573301020634653,0.6332085136165583,0.22630635500551066
1,full_covariates_tiv_lr,0.7226093829413246,0.6661012384264898,0.661155345348214,0.6677735823320181,0.21471893066731992
1,full_functional_lr,0.6949486261982916,0.6502827678997152,0.6364366072564737,0.6181964070790279,0.23180586121599026
1,full_functional_mlp,0.7031810717188726,0.6722339874119103,0.6485174332958629,0.6162593610741853,0.23001115381544243
1,full_functional_tiv_mlp,0.7101800044102511,0.6717922953370589,0.6518236546317487,0.65558633455155,0.22003343318744575
1,full_fusion_lr,0.678397670822866,0.6366111047830417,0.5991440926576663,0.5948995186007927,0.2578462473855834
1,full_fusion_mlp,0.686630116343447,0.6585623242952369,0.6112249186970556,0.59296247259595,0.25605153998503555
1,full_fusion_structural_mlp,0.6780941367958722,0.6401729187096202,0.6155530585394269,0.6164456501949006,0.23021095311179973
1,full_fusion_tiv_mlp,0.686922228639899,0.6530175802373209,0.6017046276824475,0.5962282330777141,0.27512889800523366
1,image_fusion_lr,0.6360889318198576,0.5847234882842697,0.505412783554367,0.5679717713363414,0.2864957886283836
1,image_fusion_mlp,0.648195469350124,0.5814714557639444,0.5125752660066767,0.5764463476075278,0.28361349106769224
1,structural_lr,0.6402858648303499,0.5700893419428062,0.5092673228548006,0.5678103508359378,0.28449148052201084
1,structural_mlp,0.6367102765638376,0.5640715845553946,0.5293119244819098,0.6009523635344548,0.2413848994720509
1,structural_tiv_lr,0.6405576028850611,0.5732115719559038,0.5079381696987654,0.5752934900917916,0.28217097086706605
1,tangent_lr,0.6146041364518764,0.568940383240074,0.5119509735520417,0.57101082937058,0.2598350110659779
1,tangent_mlp,0.6162585725593218,0.5844625387791443,0.5113711469481683,0.58853473588115,0.2624867080227932
1,tiv_lr,0.5208234751822456,0.5277907297045638,0.42313540871669675,0.5333817991268625,0.25045440908685057
2,full_covariates_lr,0.6659322263842037,0.5730358058425084,0.5539642132522373,0.6366398667246125,0.23206194991683401
2,full_covariates_tiv_lr,0.6739474900491849,0.588186500361825,0.5710869921422698,0.65351382766637,0.2305723382793693
2,full_functional_lr,0.6827830204948849,0.5982909175628944,0.5455933659022665,0.6470323461848886,0.22344095702163544
2,full_functional_mlp,0.6889205061521446,0.6128013009676032,0.5522913089450491,0.6609148541351931,0.22270805595005375
2,full_functional_tiv_mlp,0.6795899643357272,0.6063728771683242,0.5442078549063795,0.655139242427378,0.22521767140573165
2,full_fusion_lr,0.6827264543366237,0.6006178518270016,0.5498975594463892,0.6522826514351938,0.2222724134696207
2,full_fusion_mlp,0.6918117611620437,0.6120784030920122,0.5639557009697254,0.6536524837372295,0.22220734935643552
2,full_fusion_structural_mlp,0.666107615966373,0.5788103013307597,0.5319172699344487,0.6323103136662459,0.23352026329096784
2,full_fusion_tiv_mlp,0.6614380910991081,0.5858687612041207,0.531007847823876,0.6137359188206646,0.2501232875025632
2,image_fusion_lr,0.6301557983761373,0.5800754347562552,0.5167600089283276,0.5988804039651497,0.2556694862789471
2,image_fusion_mlp,0.6431007682420112,0.58305975646274,0.5274448797317518,0.6142205252374744,0.25467442891026804
2,structural_lr,0.5846485539988365,0.543525751587934,0.4956531717465443,0.5517192318039776,0.33496771462834135
2,structural_mlp,0.5926303033647665,0.537301466670648,0.5039051501774205,0.5665352538233894,0.25606883826788646
2,structural_tiv_lr,0.5859934948918001,0.539571162337379,0.49453395027906993,0.5557409476901003,0.32134054421372077
2,tangent_lr,0.6126139083766202,0.5740998584586535,0.4988563860583118,0.5846428054055173,0.24281842454400634
2,tangent_mlp,0.6353582753300268,0.5925030534510679,0.5105849407288724,0.590072466767382,0.24229479786828464
2,tiv_lr,0.5268269029568465,0.5353243746635715,0.4182215695734944,0.5292678131661183,0.24986335560060566
3,full_covariates_lr,0.7123538345166938,0.6446611869947274,0.6220249820793565,0.6609476795238732,0.22845582145395835
3,full_covariates_tiv_lr,0.70222704780456,0.6120747480404605,0.5968387183810929,0.6658184138393967,0.2229544197786927
3,full_functional_lr,0.7187133322949558,0.6515342021153606,0.6373742965073573,0.6548312410847803,0.225056950459553
3,full_functional_mlp,0.713430802298467,0.6443113290821828,0.6402882539715867,0.6556866404527655,0.22689239796871422
3,full_functional_tiv_mlp,0.7076396879367829,0.6175513174426296,0.6212416085926367,0.6444379443244975,0.2218553809530441
3,full_fusion_lr,0.7187133322949558,0.6515342021153606,0.6373742965073573,0.6548312410847803,0.225056950459553
3,full_fusion_mlp,0.7067882902211723,0.6229733821386995,0.6234569451563136,0.6512180414189491,0.22671702206324174
3,full_fusion_structural_mlp,0.7095660679989502,0.6373909138572692,0.6359908644190045,0.6565320510807848,0.2275584642192836
3,full_fusion_tiv_mlp,0.7073612139740985,0.614942054559394,0.6134361092990149,0.6400519794122168,0.22289143157185373
3,image_fusion_lr,0.6213206088996338,0.5780192390118567,0.5297333512637615,0.6083979908011247,0.24673838423787664
3,image_fusion_mlp,0.6380922984198398,0.5732271809205677,0.5283002919545107,0.6228994454530661,0.23463206316665206
