model,mean_auc,min_repeat_auc,max_repeat_auc,within_site_auc,mean_ap,mean_brier
full_covariates_lr,0.7040252266222505,0.6659322263842037,0.7180323392673582,0.6374292756223807,0.6147501846942578,0.22680590262381975
full_covariates_tiv_lr,0.7028960324994408,0.6739474900491849,0.7226093829413246,0.6385804956997567,0.6168327459722602,0.22274166968507886
full_functional_lr,0.6986874109036545,0.6827830204948849,0.7187133322949558,0.6329941714524778,0.6042208953752959,0.22472386766300353
full_functional_mlp,0.7044874740625211,0.6889205061521446,0.7153432970647566,0.6447458137000627,0.6105297776694775,0.2263779101458458
full_functional_tiv_mlp,0.7012242505533335,0.6795899643357272,0.7101800044102511,0.6364170099226673,0.6072514534912512,0.2231329395639226
full_fusion_lr,0.6817886672105475,0.6513258107000629,0.7187133322949558,0.6217197564410573,0.5861227752324809,0.2346995078294118
full_fusion_mlp,0.6954430111976405,0.6726060786866942,0.7193788095748453,0.6364241261386098,0.5979683020982824,0.23210823973567107
full_fusion_structural_mlp,0.6938974464654344,0.666107615966373,0.7230107708339252,0.63168353002708,0.599859818609471,0.22864445285304513
full_fusion_tiv_mlp,0.6879527538842856,0.6614380910991081,0.7084146504851015,0.6282418265930999,0.5893541765659261,0.24029993175689301
image_fusion_lr,0.6272116689082193,0.6213206088996338,0.6360889318198576,0.5683260959742498,0.5217335409706998,0.25353397967499736
image_fusion_mlp,0.6358301979938603,0.6053719733578745,0.648195469350124,0.5703262751045275,0.5276274894339819,0.25219802167642047
structural_lr,0.6067613817854104,0.5782673235122524,0.6402858648303499,0.5567163410612703,0.5065450567972258,0.2967175845200366
structural_mlp,0.6209076979803553,0.5924237741656196,0.642063626001505,0.56209698812273,0.5276875807409159,0.2503195380177391
structural_tiv_lr,0.6076807041620361,0.5778972937953663,0.6405576028850611,0.5570950667595115,0.5055284566123419,0.2999662109195291
tangent_lr,0.618551996453469,0.6126139083766202,0.6282434315954465,0.5575947980210708,0.524943696042141,0.25334612378892557
tangent_mlp,0.6272366034814827,0.6162585725593218,0.6353582753300268,0.5729718964251667,0.535690691728574,0.24815643621267283
tiv_lr,0.49342519533906515,0.45560449371196765,0.5268269029568465,0.4894371128473384,0.3970135878253289,0.2504212487369226
