site,model,n,pos,pairs,auc
KKI,full_covariates_lr,82,22,1320,0.5643939393939394
KKI,full_covariates_tiv_lr,82,22,1320,0.5696969696969697
KKI,full_functional_lr,82,22,1320,0.5643939393939394
KKI,full_functional_mlp,82,22,1320,0.5643939393939394
KKI,full_functional_tiv_mlp,82,22,1320,0.5696969696969697
KKI,full_fusion_lr,82,22,1320,0.5643939393939394
KKI,full_fusion_mlp,82,22,1320,0.5643939393939394
KKI,full_fusion_structural_mlp,82,22,1320,0.5643939393939394
KKI,full_fusion_tiv_mlp,82,22,1320,0.5696969696969697
KKI,image_fusion_lr,82,22,1320,0.5931818181818181
KKI,image_fusion_mlp,82,22,1320,0.6128787878787878
KKI,structural_lr,82,22,1320,0.5946969696969697
KKI,structural_mlp,82,22,1320,0.6439393939393939
KKI,structural_tiv_lr,82,22,1320,0.5886363636363636
KKI,tangent_lr,82,22,1320,0.5348484848484848
KKI,tangent_mlp,82,22,1320,0.5454545454545454
KKI,tiv_lr,82,22,1320,0.3666666666666667
NYU,full_covariates_lr,160,88,6336,0.6680871212121212
NYU,full_covariates_tiv_lr,160,88,6336,0.6851325757575757
NYU,full_functional_lr,160,88,6336,0.7182765151515151
NYU,full_functional_mlp,160,88,6336,0.7140151515151514
NYU,full_functional_tiv_mlp,160,88,6336,0.7203282828282829
NYU,full_fusion_lr,160,88,6336,0.7182765151515151
NYU,full_fusion_mlp,160,88,6336,0.7140151515151514
NYU,full_fusion_structural_mlp,160,88,6336,0.6631944444444444
NYU,full_fusion_tiv_mlp,160,88,6336,0.685290404040404
NYU,image_fusion_lr,160,88,6336,0.5874368686868686
NYU,image_fusion_mlp,160,88,6336,0.6202651515151514
NYU,structural_lr,160,88,6336,0.5129419191919192
NYU,structural_mlp,160,88,6336,0.5232007575757576
NYU,structural_tiv_lr,160,88,6336,0.5140467171717171
NYU,tangent_lr,160,88,6336,0.6346275252525253
NYU,tangent_mlp,160,88,6336,0.6371527777777777
NYU,tiv_lr,160,88,6336,0.573074494949495
NeuroIMAGE,full_covariates_lr,29,14,210,0.7666666666666666
NeuroIMAGE,full_covariates_tiv_lr,29,14,210,0.7666666666666666
NeuroIMAGE,full_functional_lr,29,14,210,0.7571428571428571
NeuroIMAGE,full_functional_mlp,29,14,210,0.7571428571428571
NeuroIMAGE,full_functional_tiv_mlp,29,14,210,0.7571428571428571
NeuroIMAGE,full_fusion_lr,29,14,210,0.638095238095238
NeuroIMAGE,full_fusion_mlp,29,14,210,0.6476190476190476
NeuroIMAGE,full_fusion_structural_mlp,29,14,210,0.7571428571428571
NeuroIMAGE,full_fusion_tiv_mlp,29,14,210,0.6523809523809524
NeuroIMAGE,image_fusion_lr,29,14,210,0.6142857142857143
NeuroIMAGE,image_fusion_mlp,29,14,210,0.6095238095238096
NeuroIMAGE,structural_lr,29,14,210,0.5571428571428572
NeuroIMAGE,structural_mlp,29,14,210,0.7714285714285714
NeuroIMAGE,structural_tiv_lr,29,14,210,0.5619047619047619
NeuroIMAGE,tangent_lr,29,14,210,0.6190476190476191
NeuroIMAGE,tangent_mlp,29,14,210,0.6285714285714286
NeuroIMAGE,tiv_lr,29,14,210,0.5952380952380952
OHSU,full_covariates_lr,34,13,273,0.6043956043956045
OHSU,full_covariates_tiv_lr,34,13,273,0.6007326007326008
OHSU,full_functional_lr,34,13,273,0.43956043956043966
OHSU,full_functional_mlp,34,13,273,0.3626373626373626
