model,pair_weighted_auc,macro_auc,pooled_auc,pair_weighted_auc_drop_small,macro_auc_drop_small,n_sites
full_covariates_lr,0.6615543092594712,0.7189644068583144,0.6738816738816739,0.6614073476908903,0.6821057251571958,7
full_covariates_tiv_lr,0.6741444431727137,0.7176713430127295,0.6636652236652236,0.6741909478290913,0.6847398802178214,7
full_functional_lr,0.6923429094654916,0.6694798636237713,0.6621356421356421,0.6926177588391109,0.6572718090732798,7
full_functional_mlp,0.6869634886116515,0.6737551022740098,0.6454834054834054,0.687089715536105,0.6410349209613916,7
full_functional_tiv_mlp,0.6926862767540346,0.6444156800249238,0.6466666666666666,0.693193596683174,0.6488486187015599,7
full_fusion_lr,0.6892526038686048,0.620727029156651,0.652987012987013,0.6897385696187953,0.6334622852637559,7
full_fusion_mlp,0.6843310060661554,0.6581088437706085,0.6395093795093796,0.6844408614534147,0.6191301590566296,7
full_fusion_structural_mlp,0.6440425775437794,0.6057457015440209,0.6026262626262626,0.6442473799378096,0.6124884266060737,7
full_fusion_tiv_mlp,0.6647590706192057,0.6244442823749546,0.6224531024531024,0.6650927098928942,0.6208886619916031,7
image_fusion_lr,0.591736293922399,0.5569168459924763,0.5758441558441558,0.5920764712656916,0.5796835843894668,7
image_fusion_mlp,0.616916561748884,0.5571536365128802,0.5732178932178932,0.6175285039732811,0.5844595355624767,7
structural_lr,0.5349662355499599,0.5458607160813044,0.542943722943723,0.5349533571346309,0.5642050025138261,7
structural_mlp,0.5570561977795582,0.5664713175479983,0.603030303030303,0.5576413681907175,0.6463931779005309,7
structural_tiv_lr,0.534279500972874,0.5429539793772987,0.54,0.5342623517217552,0.5601355711282181,7
tangent_lr,0.6169165617488841,0.5425190793100457,0.5810678210678211,0.6174133364044685,0.5773044888118417,7
tangent_mlp,0.6205791461600092,0.5698412494368377,0.5780086580086581,0.620638028331222,0.5799999714337949,7
tiv_lr,0.5379420853839992,0.5052411086812347,0.5123232323232324,0.5371415409420708,0.5117819965981731,7
