site,model,n,pos,pairs,auc
KKI,full_covariates_lr,82,22,1320,0.5628787878787879
KKI,full_covariates_tiv_lr,82,22,1320,0.5734848484848485
KKI,full_functional_lr,82,22,1320,0.5628787878787879
KKI,full_functional_mlp,82,22,1320,0.5628787878787879
KKI,full_functional_tiv_mlp,82,22,1320,0.5734848484848485
KKI,full_fusion_lr,82,22,1320,0.6113636363636363
KKI,full_fusion_mlp,82,22,1320,0.6113636363636363
KKI,full_fusion_structural_mlp,82,22,1320,0.675
KKI,full_fusion_tiv_mlp,82,22,1320,0.6424242424242425
KKI,image_fusion_lr,82,22,1320,0.6416666666666666
KKI,image_fusion_mlp,82,22,1320,0.6393939393939394
KKI,structural_lr,82,22,1320,0.6340909090909091
KKI,structural_mlp,82,22,1320,0.6734848484848485
KKI,structural_tiv_lr,82,22,1320,0.6303030303030304
KKI,tangent_lr,82,22,1320,0.5537878787878788
KKI,tangent_mlp,82,22,1320,0.5674242424242424
KKI,tiv_lr,82,22,1320,0.3666666666666667
NYU,full_covariates_lr,139,77,4774,0.6855886049434435
NYU,full_covariates_tiv_lr,139,77,4774,0.6868454126518644
NYU,full_functional_lr,139,77,4774,0.645370758273984
NYU,full_functional_mlp,139,77,4774,0.7153330540427314
NYU,full_functional_tiv_mlp,139,77,4774,0.7082111436950146
NYU,full_fusion_lr,139,77,4774,0.645370758273984
NYU,full_fusion_mlp,139,77,4774,0.7153330540427314
NYU,full_fusion_structural_mlp,139,77,4774,0.7153330540427314
NYU,full_fusion_tiv_mlp,139,77,4774,0.7082111436950146
NYU,image_fusion_lr,139,77,4774,0.645370758273984
NYU,image_fusion_mlp,139,77,4774,0.6648512777545036
NYU,structural_lr,139,77,4774,0.5716380393799748
NYU,structural_mlp,139,77,4774,0.5146627565982405
NYU,structural_tiv_lr,139,77,4774,0.5733137829912023
NYU,tangent_lr,139,77,4774,0.645370758273984
NYU,tangent_mlp,139,77,4774,0.6648512777545036
NYU,tiv_lr,139,77,4774,0.422496857980729
NeuroIMAGE,full_covariates_lr,28,13,195,0.7435897435897436
NeuroIMAGE,full_covariates_tiv_lr,28,13,195,0.7384615384615385
NeuroIMAGE,full_functional_lr,28,13,195,0.7435897435897436
NeuroIMAGE,full_functional_mlp,28,13,195,0.7743589743589744
NeuroIMAGE,full_functional_tiv_mlp,28,13,195,0.7487179487179487
NeuroIMAGE,full_fusion_lr,28,13,195,0.7076923076923077
NeuroIMAGE,full_fusion_mlp,28,13,195,0.7179487179487181
NeuroIMAGE,full_fusion_structural_mlp,28,13,195,0.7435897435897436
NeuroIMAGE,full_fusion_tiv_mlp,28,13,195,0.6717948717948719
NeuroIMAGE,image_fusion_lr,28,13,195,0.6256410256410256
NeuroIMAGE,image_fusion_mlp,28,13,195,0.6153846153846155
NeuroIMAGE,structural_lr,28,13,195,0.5487179487179488
NeuroIMAGE,structural_mlp,28,13,195,0.6358974358974359
NeuroIMAGE,structural_tiv_lr,28,13,195,0.5230769230769231
NeuroIMAGE,tangent_lr,28,13,195,0.6358974358974359
NeuroIMAGE,tangent_mlp,28,13,195,0.6358974358974359
NeuroIMAGE,tiv_lr,28,13,195,0.5641025641025641
OHSU,full_covariates_lr,32,13,247,0.6032388663967612
OHSU,full_covariates_tiv_lr,32,13,247,0.611336032388664
OHSU,full_functional_lr,32,13,247,0.5748987854251013
OHSU,full_functional_mlp,32,13,247,0.5951417004048584
OHSU,full_functional_tiv_mlp,32,13,247,0.5951417004048584
OHSU,full_fusion_lr,32,13,247,0.6356275303643725
OHSU,full_fusion_mlp,32,13,247,0.6518218623481782
OHSU,full_fusion_structural_mlp,32,13,247,0.7489878542510122
OHSU,full_fusion_tiv_mlp,32,13,247,0.6275303643724697
