site,model,n,pos,pairs,auc
KKI,full_covariates_lr,72,15,855,0.6011695906432748
KKI,full_covariates_tiv_lr,72,15,855,0.5964912280701754
KKI,full_functional_lr,72,15,855,0.6011695906432748
KKI,full_functional_mlp,72,15,855,0.6011695906432748
KKI,full_functional_tiv_mlp,72,15,855,0.5964912280701754
KKI,full_fusion_lr,72,15,855,0.6771929824561403
KKI,full_fusion_mlp,72,15,855,0.6771929824561403
KKI,full_fusion_structural_mlp,72,15,855,0.6619883040935673
KKI,full_fusion_tiv_mlp,72,15,855,0.6748538011695906
KKI,image_fusion_lr,72,15,855,0.6830409356725147
KKI,image_fusion_mlp,72,15,855,0.672514619883041
KKI,structural_lr,72,15,855,0.6596491228070176
KKI,structural_mlp,72,15,855,0.6654970760233918
KKI,structural_tiv_lr,72,15,855,0.6631578947368422
KKI,tangent_lr,72,15,855,0.6900584795321637
KKI,tangent_mlp,72,15,855,0.6900584795321637
KKI,tiv_lr,72,15,855,0.4596491228070176
NYU,full_covariates_lr,113,60,3180,0.6726415094339624
NYU,full_covariates_tiv_lr,113,60,3180,0.689937106918239
NYU,full_functional_lr,113,60,3180,0.6726415094339624
NYU,full_functional_mlp,113,60,3180,0.6726415094339624
NYU,full_functional_tiv_mlp,113,60,3180,0.689937106918239
NYU,full_fusion_lr,113,60,3180,0.5971698113207546
NYU,full_fusion_mlp,113,60,3180,0.5971698113207546
NYU,full_fusion_structural_mlp,113,60,3180,0.5276729559748428
NYU,full_fusion_tiv_mlp,113,60,3180,0.6022012578616353
NYU,image_fusion_lr,113,60,3180,0.5172955974842767
NYU,image_fusion_mlp,113,60,3180,0.5172955974842767
NYU,structural_lr,113,60,3180,0.5172955974842767
NYU,structural_mlp,113,60,3180,0.5276729559748428
NYU,structural_tiv_lr,113,60,3180,0.519496855345912
NYU,tangent_lr,113,60,3180,0.5182389937106918
NYU,tangent_mlp,113,60,3180,0.5216981132075471
NYU,tiv_lr,113,60,3180,0.5556603773584905
NeuroIMAGE,full_covariates_lr,26,11,165,0.7696969696969697
NeuroIMAGE,full_covariates_tiv_lr,26,11,165,0.8121212121212122
NeuroIMAGE,full_functional_lr,26,11,165,0.7212121212121212
NeuroIMAGE,full_functional_mlp,26,11,165,0.696969696969697
NeuroIMAGE,full_functional_tiv_mlp,26,11,165,0.7575757575757576
NeuroIMAGE,full_fusion_lr,26,11,165,0.7212121212121212
NeuroIMAGE,full_fusion_mlp,26,11,165,0.6909090909090909
NeuroIMAGE,full_fusion_structural_mlp,26,11,165,0.6727272727272727
NeuroIMAGE,full_fusion_tiv_mlp,26,11,165,0.7575757575757576
NeuroIMAGE,image_fusion_lr,26,11,165,0.5212121212121212
NeuroIMAGE,image_fusion_mlp,26,11,165,0.5151515151515151
NeuroIMAGE,structural_lr,26,11,165,0.5212121212121212
NeuroIMAGE,structural_mlp,26,11,165,0.5515151515151515
NeuroIMAGE,structural_tiv_lr,26,11,165,0.5212121212121212
NeuroIMAGE,tangent_lr,26,11,165,0.509090909090909
NeuroIMAGE,tangent_mlp,26,11,165,0.5151515151515151
NeuroIMAGE,tiv_lr,26,11,165,0.4666666666666667
OHSU,full_covariates_lr,26,9,153,0.5424836601307189
OHSU,full_covariates_tiv_lr,26,9,153,0.588235294117647
OHSU,full_functional_lr,26,9,153,0.5163398692810457
OHSU,full_functional_mlp,26,9,153,0.5751633986928104
OHSU,full_functional_tiv_mlp,26,9,153,0.5751633986928104
OHSU,full_fusion_lr,26,9,153,0.5424836601307189
OHSU,full_fusion_mlp,26,9,153,0.5098039215686274
OHSU,full_fusion_structural_mlp,26,9,153,0.5751633986928104
OHSU,full_fusion_tiv_mlp,26,9,153,0.5686274509803921
OHSU,image_fusion_lr,26,9,153,0.4313725490196078
OHSU,image_fusion_mlp,26,9,153,0.4117647058823529
OHSU,structural_lr,26,9,153,0.49019607843137253
OHSU,structural_mlp,26,9,153,0.607843137254902
OHSU,structural_tiv_lr,26,9,153,0.49019607843137253
OHSU,tangent_lr,26,9,153,0.47058823529411764
OHSU,tangent_mlp,26,9,153,0.4575163398692811
OHSU,tiv_lr,26,9,153,0.5490196078431372
Peking_1,full_covariates_lr,48,15,495,0.7575757575757576
Peking_1,full_covariates_tiv_lr,48,15,495,0.7535353535353535
Peking_1,full_functional_lr,48,15,495,0.7575757575757576
Peking_1,full_functional_mlp,48,15,495,0.7575757575757576
Peking_1,full_functional_tiv_mlp,48,15,495,0.7535353535353535
Peking_1,full_fusion_lr,48,15,495,0.7575757575757576
Peking_1,full_fusion_mlp,48,15,495,0.7575757575757576
Peking_1,full_fusion_structural_mlp,48,15,495,0.7575757575757576
Peking_1,full_fusion_tiv_mlp,48,15,495,0.7535353535353535
Peking_1,image_fusion_lr,48,15,495,0.7414141414141414
Peking_1,image_fusion_mlp,48,15,495,0.7111111111111111
Peking_1,structural_lr,48,15,495,0.7232323232323232
Peking_1,structural_mlp,48,15,495,0.705050505050505
Peking_1,structural_tiv_lr,48,15,495,0.7272727272727273
Peking_1,tangent_lr,48,15,495,0.7131313131313132
Peking_1,tangent_mlp,48,15,495,0.7111111111111111
Peking_1,tiv_lr,48,15,495,0.48080808080808074
Peking_2,full_covariates_lr,13,8,40,0.65
Peking_2,full_covariates_tiv_lr,13,8,40,0.575
Peking_2,full_functional_lr,13,8,40,0.7250000000000001
Peking_2,full_functional_mlp,13,8,40,0.75
Peking_2,full_functional_tiv_mlp,13,8,40,0.75
Peking_2,full_fusion_lr,13,8,40,0.625
Peking_2,full_fusion_mlp,13,8,40,0.625
Peking_2,full_fusion_structural_mlp,13,8,40,0.6000000000000001
Peking_2,full_fusion_tiv_mlp,13,8,40,0.625
Peking_2,image_fusion_lr,13,8,40,0.625
Peking_2,image_fusion_mlp,13,8,40,0.625
Peking_2,structural_lr,13,8,40,0.5
Peking_2,structural_mlp,13,8,40,0.425
Peking_2,structural_tiv_lr,13,8,40,0.5
Peking_2,tangent_lr,13,8,40,0.7250000000000001
Peking_2,tangent_mlp,13,8,40,0.75
Peking_2,tiv_lr,13,8,40,0.725
Peking_3,full_covariates_lr,4,2,4,1.0
Peking_3,full_covariates_tiv_lr,4,2,4,1.0
Peking_3,full_functional_lr,4,2,4,0.25
Peking_3,full_functional_mlp,4,2,4,0.5
Peking_3,full_functional_tiv_mlp,4,2,4,0.25
Peking_3,full_fusion_lr,4,2,4,0.25
Peking_3,full_fusion_mlp,4,2,4,0.5
Peking_3,full_fusion_structural_mlp,4,2,4,0.5
Peking_3,full_fusion_tiv_mlp,4,2,4,0.25
Peking_3,image_fusion_lr,4,2,4,0.0
Peking_3,image_fusion_mlp,4,2,4,0.0
Peking_3,structural_lr,4,2,4,0.25
Peking_3,structural_mlp,4,2,4,0.5
Peking_3,structural_tiv_lr,4,2,4,0.25
Peking_3,tangent_lr,4,2,4,0.25
Peking_3,tangent_mlp,4,2,4,0.25
Peking_3,tiv_lr,4,2,4,0.25
