model,pair_weighted_auc,macro_auc,pooled_auc,pair_weighted_auc_drop_small,macro_auc_drop_small,n_sites
full_covariates_lr,0.6680294358135733,0.713366783925812,0.7006410256410257,0.667904290429043,0.6687134974961367,7
full_covariates_tiv_lr,0.6802943581357318,0.7164743135375181,0.6987637362637363,0.6808993399339934,0.6880640389525252,7
full_functional_lr,0.6655764513491416,0.6062769783065944,0.6828754578754579,0.6654290429042905,0.6537877696292324,7
full_functional_mlp,0.6670073589533934,0.6505028504736432,0.6779761904761905,0.666460396039604,0.6607039906631005,7
full_functional_tiv_mlp,0.67886345053148,0.6246718349703336,0.6842490842490843,0.6786303630363036,0.674540568958467,7
full_fusion_lr,0.6298037612428454,0.5958049046707846,0.6446886446886446,0.6301567656765676,0.6591268665390985,7
full_fusion_mlp,0.6279640228945217,0.6225216519757673,0.6347527472527472,0.6280940594059405,0.6465303127660741,7
full_fusion_structural_mlp,0.5813573180703189,0.6135896698663217,0.5679945054945055,0.5812706270627063,0.6390255378128502,7
full_fusion_tiv_mlp,0.634300899427637,0.6045419458746756,0.6484432234432235,0.6346947194719472,0.6713587242245458,7
image_fusion_lr,0.5668438266557645,0.502762192114666,0.5629578754578755,0.5668316831683168,0.5788670689605324,7
image_fusion_mlp,0.5611201962387572,0.49326250707318525,0.5437728937728938,0.5610561056105611,0.5655675099024593,7
structural_lr,0.5619378577269011,0.5230836061667301,0.5709706959706959,0.5627062706270627,0.5823170486334222,7
structural_mlp,0.5721586263287,0.5689398322598275,0.5616300366300366,0.5734323432343235,0.6115157651637586,7
structural_tiv_lr,0.5643908421913328,0.5244765252855679,0.5663919413919414,0.5651815181518152,0.584267135399795,7
tangent_lr,0.5676614881439084,0.5537297043941708,0.5532967032967033,0.5666254125412541,0.580221586151839,7
tangent_mlp,0.5697056418642682,0.5565050798388026,0.5652930402930403,0.5684818481848185,0.5791071117743237,7
tiv_lr,0.5292313982011447,0.4981148364976275,0.48539377289377295,0.5278465346534653,0.5023607710966785,7
