cohort,model,bin,n,mean_pred,obs_freq
primary,full_covariates_lr,0,175,0.18907320469478922,0.22285714285714286
primary,full_covariates_lr,1,175,0.29335314273070223,0.30857142857142855
primary,full_covariates_lr,2,175,0.3734626338779747,0.28
primary,full_covariates_lr,3,175,0.4306295845797063,0.28
primary,full_covariates_lr,4,175,0.48262821373633447,0.3028571428571429
primary,full_covariates_lr,5,175,0.5255519046392245,0.5028571428571429
primary,full_covariates_lr,6,175,0.5613341644046688,0.5371428571428571
primary,full_covariates_lr,7,175,0.6077059042701007,0.5657142857142857
primary,full_covariates_lr,8,175,0.6636088065602119,0.5942857142857143
primary,full_covariates_lr,9,175,0.7933363741715873,0.7771428571428571
primary,full_functional_mlp,0,175,0.2145863076270799,0.22285714285714286
primary,full_functional_mlp,1,175,0.3141562918045549,0.26285714285714284
primary,full_functional_mlp,2,175,0.3786747629587511,0.33714285714285713
primary,full_functional_mlp,3,175,0.42677774698688115,0.3142857142857143
primary,full_functional_mlp,4,175,0.4719171105158848,0.33714285714285713
primary,full_functional_mlp,5,175,0.5158987890375438,0.46285714285714286
primary,full_functional_mlp,6,175,0.5503993987063984,0.5142857142857142
primary,full_functional_mlp,7,175,0.5988079287639488,0.5142857142857142
primary,full_functional_mlp,8,175,0.653635091337598,0.68
primary,full_functional_mlp,9,175,0.7552662648467001,0.7257142857142858
primary,full_fusion_structural_mlp,0,175,0.1881607961184257,0.2571428571428571
primary,full_fusion_structural_mlp,1,175,0.3087674075866673,0.26857142857142857
primary,full_fusion_structural_mlp,2,175,0.3749926998372124,0.32
primary,full_fusion_structural_mlp,3,175,0.42626997216578877,0.2914285714285714
primary,full_fusion_structural_mlp,4,175,0.47324196766208126,0.33714285714285713
primary,full_fusion_structural_mlp,5,175,0.5143921467797601,0.4857142857142857
primary,full_fusion_structural_mlp,6,175,0.5543087701327019,0.48
primary,full_fusion_structural_mlp,7,175,0.6029361135385376,0.6
primary,full_fusion_structural_mlp,8,175,0.661445594713739,0.6628571428571428
primary,full_fusion_structural_mlp,9,175,0.7861958506035555,0.6685714285714286
primary,image_fusion_mlp,0,175,0.061867055523082595,0.30857142857142855
primary,image_fusion_mlp,1,175,0.24260637646278124,0.32571428571428573
primary,image_fusion_mlp,2,175,0.3352196286892479,0.25142857142857145
primary,image_fusion_mlp,3,175,0.40008900895187605,0.3657142857142857
primary,image_fusion_mlp,4,175,0.45318162012797375,0.4857142857142857
primary,image_fusion_mlp,5,175,0.5107381625230547,0.4228571428571429
primary,image_fusion_mlp,6,175,0.5728274215784728,0.5028571428571429
primary,image_fusion_mlp,7,175,0.632189043908133,0.5371428571428571
primary,image_fusion_mlp,8,175,0.7171378504964999,0.5942857142857143
primary,image_fusion_mlp,9,175,0.9288438368593588,0.5771428571428572
warning_free,full_covariates_lr,0,151,0.17363236861820264,0.17218543046357615
warning_free,full_covariates_lr,1,151,0.2885926242619341,0.2781456953642384
warning_free,full_covariates_lr,2,151,0.38764033260017156,0.26490066225165565
warning_free,full_covariates_lr,3,151,0.4351125118208935,0.2119205298013245
warning_free,full_covariates_lr,4,151,0.47806038992654265,0.33774834437086093
warning_free,full_covariates_lr,5,151,0.5153137455294514,0.3973509933774834
warning_free,full_covariates_lr,6,151,0.5517500175548707,0.543046357615894
warning_free,full_covariates_lr,7,151,0.5968001212000836,0.5099337748344371
warning_free,full_covariates_lr,8,151,0.6746142733646885,0.5960264900662252
warning_free,full_covariates_lr,9,151,0.7919760268893016,0.6622516556291391
warning_free,full_functional_mlp,0,151,0.24348842970139706,0.2119205298013245
warning_free,full_functional_mlp,1,151,0.36571573413075414,0.1986754966887417
warning_free,full_functional_mlp,2,151,0.4159803322192504,0.2052980132450331
warning_free,full_functional_mlp,3,151,0.44707683181721786,0.2781456953642384
warning_free,full_functional_mlp,4,151,0.4788462732334677,0.33112582781456956
warning_free,full_functional_mlp,5,151,0.5092860399919811,0.4503311258278146
warning_free,full_functional_mlp,6,151,0.5435522644326232,0.4966887417218543
warning_free,full_functional_mlp,7,151,0.5734954204464521,0.5496688741721855
warning_free,full_functional_mlp,8,151,0.6180871452498566,0.5827814569536424
warning_free,full_functional_mlp,9,151,0.7270338624755502,0.6688741721854304
warning_free,full_fusion_structural_mlp,0,151,0.22909129991107044,0.2052980132450331
warning_free,full_fusion_structural_mlp,1,151,0.3425000853401197,0.26490066225165565
warning_free,full_fusion_structural_mlp,2,151,0.40228202732984075,0.23841059602649006
warning_free,full_fusion_structural_mlp,3,151,0.4404930658921475,0.1986754966887417
warning_free,full_fusion_structural_mlp,4,151,0.4740086282839432,0.40397350993377484
warning_free,full_fusion_structural_mlp,5,151,0.5060824966087919,0.40397350993377484
warning_free,full_fusion_structural_mlp,6,151,0.5441013616798852,0.5033112582781457
warning_free,full_fusion_structural_mlp,7,151,0.5783931509697533,0.5298013245033113
warning_free,full_fusion_structural_mlp,8,151,0.6247611549246961,0.5761589403973509
warning_free,full_fusion_structural_mlp,9,151,0.7318494691196888,0.6490066225165563
warning_free,image_fusion_mlp,0,151,0.10514204083723945,0.3509933774834437
warning_free,image_fusion_mlp,1,151,0.30290761841202274,0.2185430463576159
warning_free,image_fusion_mlp,2,151,0.3815701681456728,0.2582781456953642
warning_free,image_fusion_mlp,3,151,0.4323381246422158,0.33774834437086093
warning_free,image_fusion_mlp,4,151,0.4704388557126672,0.39072847682119205
warning_free,image_fusion_mlp,5,151,0.5045752727169723,0.36423841059602646
warning_free,image_fusion_mlp,6,151,0.5373825283820336,0.5231788079470199
warning_free,image_fusion_mlp,7,151,0.5783793800384742,0.48344370860927155
warning_free,image_fusion_mlp,8,151,0.6370073452729373,0.5364238410596026
warning_free,image_fusion_mlp,9,151,0.8205395135449105,0.5099337748344371
include_holds,full_covariates_lr,0,187,0.19216712199828428,0.24064171122994651
include_holds,full_covariates_lr,1,188,0.3108355098924303,0.2765957446808511
include_holds,full_covariates_lr,2,187,0.3899837363279946,0.22994652406417113
include_holds,full_covariates_lr,3,188,0.4363747688007766,0.31382978723404253
include_holds,full_covariates_lr,4,187,0.48439909680429144,0.37433155080213903
include_holds,full_covariates_lr,5,188,0.5243236913900401,0.4946808510638298
include_holds,full_covariates_lr,6,187,0.5556830016743018,0.5347593582887701
include_holds,full_covariates_lr,7,188,0.596124649187272,0.5531914893617021
include_holds,full_covariates_lr,8,187,0.6588932635724556,0.6203208556149733
include_holds,full_covariates_lr,9,188,0.7879371185807175,0.7606382978723404
include_holds,full_functional_mlp,0,187,0.2397807179632002,0.24598930481283424
include_holds,full_functional_mlp,1,188,0.33647047458603313,0.2127659574468085
include_holds,full_functional_mlp,2,187,0.3950307898611877,0.25133689839572193
include_holds,full_functional_mlp,3,188,0.4359851132474774,0.32978723404255317
include_holds,full_functional_mlp,4,187,0.47701048545061553,0.39037433155080214
include_holds,full_functional_mlp,5,188,0.5140308501451358,0.48404255319148937
include_holds,full_functional_mlp,6,187,0.546044901096866,0.5775401069518716
include_holds,full_functional_mlp,7,188,0.5856231650079309,0.5691489361702128
include_holds,full_functional_mlp,8,187,0.6373330602886181,0.6096256684491979
include_holds,full_functional_mlp,9,188,0.7283700033057314,0.7287234042553191
include_holds,full_fusion_structural_mlp,0,187,0.2057249272252993,0.25133689839572193
include_holds,full_fusion_structural_mlp,1,188,0.32533574990321906,0.25
include_holds,full_fusion_structural_mlp,2,187,0.38433432759006014,0.2727272727272727
include_holds,full_fusion_structural_mlp,3,188,0.43353130735841705,0.28191489361702127
include_holds,full_fusion_structural_mlp,4,187,0.4741747019378361,0.39037433155080214
include_holds,full_fusion_structural_mlp,5,188,0.510713455805478,0.42021276595744683
include_holds,full_fusion_structural_mlp,6,187,0.5468347318974265,0.5989304812834224
include_holds,full_fusion_structural_mlp,7,188,0.5892829055097191,0.5851063829787234
include_holds,full_fusion_structural_mlp,8,187,0.6461717857394401,0.6684491978609626
include_holds,full_fusion_structural_mlp,9,188,0.7641584890908926,0.6808510638297872
include_holds,image_fusion_mlp,0,187,0.14928914185537778,0.21390374331550802
include_holds,image_fusion_mlp,1,188,0.2727286398909119,0.32978723404255317
include_holds,image_fusion_mlp,2,187,0.35105164747596423,0.36363636363636365
include_holds,image_fusion_mlp,3,188,0.4068098932610771,0.425531914893617
include_holds,image_fusion_mlp,4,187,0.45694538761026404,0.39572192513368987
include_holds,image_fusion_mlp,5,188,0.5108345613636868,0.4627659574468085
include_holds,image_fusion_mlp,6,187,0.5651430890383299,0.4919786096256685
include_holds,image_fusion_mlp,7,188,0.620517492452138,0.5531914893617021
include_holds,image_fusion_mlp,8,187,0.6930987556929462,0.5508021390374331
include_holds,image_fusion_mlp,9,188,0.8269239630193101,0.6117021276595744
