cohort,contrast,candidate,reference,metric,point,ci90_lo,ci90_hi
primary,P,full_fusion_structural_mlp,full_functional_mlp,pair_weighted,0.0275358246698511,0.00947044516697943,0.0462579353028791
primary,P,full_fusion_structural_mlp,full_functional_mlp,macro,-0.015426240426240396,-0.11929783893316073,0.0887055117013581
primary,P,full_fusion_structural_mlp,full_functional_mlp,pair_weighted_drop_small,0.029728199320498316,,
primary,P,full_fusion_structural_mlp,full_functional_mlp,macro_drop_small,0.058403263403263427,,
primary,S1,full_functional_mlp,full_covariates_lr,pair_weighted,0.012644001123911248,-0.0330919120789263,0.06154562077652831
primary,S1,full_functional_mlp,full_covariates_lr,macro,-0.030156226733355034,-0.10765008646207383,0.03643986812688401
primary,S1,full_functional_mlp,full_covariates_lr,pair_weighted_drop_small,0.01259909399773503,,
primary,S1,full_functional_mlp,full_covariates_lr,macro_drop_small,-0.011107606315585938,,
primary,S2,full_fusion_mlp,full_functional_mlp,pair_weighted,0.007726889575723518,-0.001701415721288271,0.017929150948265977
primary,S2,full_fusion_mlp,full_functional_mlp,macro,-0.06922551133077447,-0.17570141570624842,0.04793125546448259
primary,S2,full_fusion_mlp,full_functional_mlp,pair_weighted_drop_small,0.009484711211778029,,
primary,S2,full_fusion_mlp,full_functional_mlp,macro_drop_small,0.009750950803582393,,
primary,S3,full_fusion_lr,full_functional_lr,pair_weighted,0.00828884518123068,-0.0012412852348337672,0.01856951473590649
primary,S3,full_fusion_lr,full_functional_lr,macro,-0.06889134257555311,-0.17656549081733808,0.04903321362490944
primary,S3,full_fusion_lr,full_functional_lr,pair_weighted_drop_small,0.0101925254813137,,
primary,S3,full_fusion_lr,full_functional_lr,macro_drop_small,0.014663231505336771,,
primary,S4,image_fusion_mlp,tangent_mlp,pair_weighted,0.012082045518404059,-0.016095848159689938,0.04049189691555588
primary,S4,image_fusion_mlp,tangent_mlp,macro,-0.03160538292117236,-0.13072842028660994,0.06235635091693638
primary,S4,image_fusion_mlp,tangent_mlp,pair_weighted_drop_small,0.013448471121177814,,
primary,S4,image_fusion_mlp,tangent_mlp,macro_drop_small,0.013530241688136458,,
primary,S5,full_fusion_tiv_mlp,full_functional_tiv_mlp,pair_weighted,0.011379601011520099,-0.004601374705991029,0.028419375150077412
primary,S5,full_fusion_tiv_mlp,full_functional_tiv_mlp,macro,-0.0568310344626134,-0.14110909323272253,0.02563860352541444
primary,S5,full_fusion_tiv_mlp,full_functional_tiv_mlp,pair_weighted_drop_small,0.011891279728199328,,
primary,S5,full_fusion_tiv_mlp,full_functional_tiv_mlp,macro_drop_small,0.004880996196785681,,
primary,E1,structural_mlp,structural_lr,pair_weighted,-0.02823826917673501,-0.08220020273925921,0.02482298370060158
primary,E1,structural_mlp,structural_lr,macro,0.007526367843491303,-0.07612037687842396,0.09072134824810073
primary,E1,structural_mlp,structural_lr,pair_weighted_drop_small,-0.027604756511891253,,
primary,E1,structural_mlp,structural_lr,macro_drop_small,0.03720358164755448,,
warning_free,P,full_fusion_structural_mlp,full_functional_mlp,pair_weighted,-0.08565004088307443,-0.16072015032378087,-0.010295191967292826
warning_free,P,full_fusion_structural_mlp,full_functional_mlp,macro,-0.03691318060732164,-0.08603915913605842,0.007050352693192447
warning_free,P,full_fusion_structural_mlp,full_functional_mlp,pair_weighted_drop_small,-0.08518976897689771,,
warning_free,P,full_fusion_structural_mlp,full_functional_mlp,macro_drop_small,-0.021678452850250295,,
warning_free,S1,full_functional_mlp,full_covariates_lr,pair_weighted,-0.001022076860179883,-0.007811222031399659,0.005757940406648334
warning_free,S1,full_functional_mlp,full_covariates_lr,macro,-0.06286393345216874,-0.1714860338074624,0.05862282223495456
warning_free,S1,full_functional_mlp,full_covariates_lr,pair_weighted_drop_small,-0.0014438943894389412,,
warning_free,S1,full_functional_mlp,full_covariates_lr,macro_drop_small,-0.008009506833036228,,
warning_free,S2,full_fusion_mlp,full_functional_mlp,pair_weighted,-0.03904333605887163,-0.09780966711249811,0.020038510415696827
warning_free,S2,full_fusion_mlp,full_functional_mlp,macro,-0.027981198497875885,-0.08574553066281072,0.02678010364408483
warning_free,S2,full_fusion_mlp,full_functional_mlp,pair_weighted_drop_small,-0.038366336633663366,,
warning_free,S2,full_fusion_mlp,full_functional_mlp,macro_drop_small,-0.014173677897026237,,
warning_free,S3,full_fusion_lr,full_functional_lr,pair_weighted,-0.035772690106295996,-0.09445102756137654,0.022957260140532194
warning_free,S3,full_fusion_lr,full_functional_lr,macro,-0.010472073635809851,-0.06105411117069276,0.038669619355866144
warning_free,S3,full_fusion_lr,full_functional_lr,pair_weighted_drop_small,-0.03527227722772277,,
warning_free,S3,full_fusion_lr,full_functional_lr,macro_drop_small,0.005339096909866203,,
warning_free,S4,image_fusion_mlp,tangent_mlp,pair_weighted,-0.008585445625511029,-0.09055472415816686,0.07507875749452816
warning_free,S4,image_fusion_mlp,tangent_mlp,macro,-0.06324257276561733,-0.1649643825503767,0.027560463579371124
warning_free,S4,image_fusion_mlp,tangent_mlp,pair_weighted_drop_small,-0.007425742574257416,,
warning_free,S4,image_fusion_mlp,tangent_mlp,macro_drop_small,-0.01353960187186426,,
warning_free,S5,full_fusion_tiv_mlp,full_functional_tiv_mlp,pair_weighted,-0.04456255110384296,-0.10106639362626331,0.011621829093383149
warning_free,S5,full_fusion_tiv_mlp,full_functional_tiv_mlp,macro,-0.02012988909565811,-0.07297285809000079,0.030803236238092477
warning_free,S5,full_fusion_tiv_mlp,full_functional_tiv_mlp,pair_weighted_drop_small,-0.04393564356435639,,
warning_free,S5,full_fusion_tiv_mlp,full_functional_tiv_mlp,macro_drop_small,-0.0031818447339213574,,
warning_free,E1,structural_mlp,structural_lr,pair_weighted,0.010220768601798805,-0.026339129235235622,0.04605876549615874
warning_free,E1,structural_mlp,structural_lr,macro,0.04585622609309738,-0.03731327910021911,0.14377238242993953
warning_free,E1,structural_mlp,structural_lr,pair_weighted_drop_small,0.010726072607260675,,
warning_free,E1,structural_mlp,structural_lr,macro_drop_small,0.029198716530336333,,
include_holds,P,full_fusion_structural_mlp,full_functional_mlp,pair_weighted,-0.04292091106787227,-0.07389151946887171,-0.01129939608442611
include_holds,P,full_fusion_structural_mlp,full_functional_mlp,macro,-0.06800940072998896,-0.13854933046265616,-0.011382266130416024
include_holds,P,full_fusion_structural_mlp,full_functional_mlp,pair_weighted_drop_small,-0.04284233559829552,,
include_holds,P,full_fusion_structural_mlp,full_functional_mlp,macro_drop_small,-0.028546494355317885,,
include_holds,S1,full_functional_mlp,full_covariates_lr,pair_weighted,0.025409179352180362,0.004046655322354628,0.0483798678972521
include_holds,S1,full_functional_mlp,full_covariates_lr,macro,-0.0452093045843046,-0.09898262048618703,-0.002485558787199567
include_holds,S1,full_functional_mlp,full_covariates_lr,pair_weighted_drop_small,0.025682367845214767,,
include_holds,S1,full_functional_mlp,full_covariates_lr,macro_drop_small,-0.04107080419580421,,
include_holds,S2,full_fusion_mlp,full_functional_mlp,pair_weighted,-0.0026324825454961645,-0.005988092922655038,0.0005588872000472187
include_holds,S2,full_fusion_mlp,full_functional_mlp,macro,-0.01564625850340135,-0.03651927437641723,0.0034013605442176752
include_holds,S2,full_fusion_mlp,full_functional_mlp,pair_weighted_drop_small,-0.0026488540826903133,,
include_holds,S2,full_fusion_mlp,full_functional_mlp,macro_drop_small,-0.021904761904761892,,
include_holds,S3,full_fusion_lr,full_functional_lr,pair_weighted,-0.0030903055968868037,-0.006502111019128978,0.00023488800406744798
include_holds,S3,full_fusion_lr,full_functional_lr,macro,-0.048752834467120185,-0.11860119047619047,-0.003401360544217675
include_holds,S3,full_fusion_lr,full_functional_lr,pair_weighted_drop_small,-0.0028791892203155595,,
include_holds,S3,full_fusion_lr,full_functional_lr,macro_drop_small,-0.023809523809523815,,
include_holds,S4,image_fusion_mlp,tangent_mlp,pair_weighted,-0.0036625844111251114,-0.02642218927312186,0.01988884658248194
include_holds,S4,image_fusion_mlp,tangent_mlp,macro,-0.01268761292395745,-0.07706641346052293,0.048206354235988985
include_holds,S4,image_fusion_mlp,tangent_mlp,pair_weighted_drop_small,-0.003109524357940815,,
include_holds,S4,image_fusion_mlp,tangent_mlp,macro_drop_small,0.004459564128681803,,
include_holds,S5,full_fusion_tiv_mlp,full_functional_tiv_mlp,pair_weighted,-0.027927206134828884,-0.05156446304801055,-0.004899876857697064
include_holds,S5,full_fusion_tiv_mlp,full_functional_tiv_mlp,macro,-0.019971397649969073,-0.04235386654661863,0.00031028796133838137
include_holds,S5,full_fusion_tiv_mlp,full_functional_tiv_mlp,pair_weighted_drop_small,-0.028100886790279854,,
include_holds,S5,full_fusion_tiv_mlp,full_functional_tiv_mlp,macro_drop_small,-0.027959956709956702,,
include_holds,E1,structural_mlp,structural_lr,pair_weighted,0.022089962229598224,-0.002088748693076551,0.04642859189990341
include_holds,E1,structural_mlp,structural_lr,macro,0.02061060146669388,-0.06103055877120825,0.10296906098004252
include_holds,E1,structural_mlp,structural_lr,pair_weighted_drop_small,0.02268801105608657,,
include_holds,E1,structural_mlp,structural_lr,macro_drop_small,0.08218817538670478,,
