cohort_a,cohort_b,site,common_n,alpha_a,alpha_b,delta_model_a_alpha_a,delta_model_a_alpha_b,delta_model_b_alpha_a,delta_model_b_alpha_b,common_model_shift,primary_site_weight,prediction_contribution,fusion_weight_contribution,identity_residual
primary,warning_free,KKI,72,0.5,0.25,0.13333333333333341,0.0935672514619883,0.08187134502923987,0.06081871345029255,-0.07251461988304087,0.18544534981736444,-0.042105263157894646,-0.03040935672514622,0.0
primary,warning_free,NYU,113,0.0,1.0,0.0,-0.1839622641509434,0.0,-0.14496855345911963,-0.14496855345911963,0.6706940151728014,0.01949685534591189,-0.16446540880503152,0.0
primary,warning_free,NeuroIMAGE,26,0.25,0.25,-0.036363636363636376,-0.036363636363636376,-0.024242424242424288,-0.024242424242424288,0.012121212121212088,0.02739533576847429,0.012121212121212088,0.0,0.0
primary,warning_free,OHSU,26,0.5,0.0,0.20915032679738566,0.0,0.0326797385620915,0.0,-0.20915032679738566,0.034700758640067435,-0.08823529411764708,-0.12091503267973858,0.0
primary,warning_free,Peking_1,48,0.25,0.0,0.03232323232323242,0.0,0.06262626262626259,0.0,-0.03232323232323242,0.07417813992694577,0.015151515151515083,-0.0474747474747475,0.0
primary,warning_free,Peking_2,13,0.5,0.25,-0.32500000000000007,-0.19999999999999996,-0.27499999999999997,-0.1499999999999999,0.17500000000000016,0.006322000561955606,0.05000000000000007,0.12500000000000008,0.0
primary,warning_free,Peking_3,4,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.001264400112391121,0.0,0.0,0.0
primary,include_holds,KKI,82,0.5,0.0,0.11212121212121218,0.0,0.05303030303030298,0.0,-0.11212121212121218,0.18544534981736444,-0.029545454545454597,-0.08257575757575758,0.0
primary,include_holds,NYU,139,0.0,0.25,0.0,-0.013824884792626668,0.0,-0.04566401340594883,-0.04566401340594883,0.6706940151728014,-0.015919564306661083,-0.02974444909928775,0.0
primary,include_holds,NeuroIMAGE,28,0.25,0.0,-0.03076923076923077,0.0,0.02051282051282055,0.0,0.03076923076923077,0.02739533576847429,0.02564102564102566,0.00512820512820511,0.0
primary,include_holds,OHSU,32,0.5,0.0,0.15384615384615385,0.0,0.24696356275303638,0.0,-0.15384615384615385,0.034700758640067435,0.04655870445344126,-0.20040485829959512,0.0
primary,include_holds,Peking_1,49,0.25,0.5,0.05681818181818188,0.05113636363636376,-0.024621212121212044,-0.09090909090909083,-0.1477272727272727,0.07417813992694577,-0.11174242424242425,-0.03598484848484845,0.0
primary,include_holds,Peking_2,14,0.5,0.0,-0.288888888888889,0.0,-0.0888888888888889,0.0,0.288888888888889,0.006322000561955606,0.10000000000000003,0.18888888888888894,0.0
primary,include_holds,Peking_3,6,0.5,0.75,-0.11111111111111105,-0.33333333333333326,-0.2222222222222222,-0.33333333333333337,-0.22222222222222232,0.001264400112391121,-0.055555555555555636,-0.16666666666666669,0.0
warning_free,include_holds,KKI,72,0.25,0.0,0.06081871345029255,0.0,0.05730994152046798,0.0,-0.06081871345029255,0.18544534981736444,-0.0017543859649122862,-0.059064327485380264,0.0
warning_free,include_holds,NYU,113,1.0,0.25,-0.14496855345911963,0.0015723270440249904,-0.16069182389937098,-0.03301886792452824,0.11194968553459139,0.6706940151728014,-0.025157232704402288,0.13710691823899368,0.0
warning_free,include_holds,NeuroIMAGE,26,0.25,0.0,-0.024242424242424288,0.0,0.018181818181818188,0.0,0.024242424242424288,0.02739533576847429,0.021212121212121238,0.00303030303030305,0.0
warning_free,include_holds,OHSU,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034700758640067435,0.0,0.0,0.0
warning_free,include_holds,Peking_1,48,0.0,0.5,0.0,0.036363636363636376,0.0,-0.09292929292929297,-0.09292929292929297,0.07417813992694577,-0.06464646464646467,-0.0282828282828283,0.0
warning_free,include_holds,Peking_2,13,0.25,0.0,-0.1499999999999999,0.0,1.1102230246251565e-16,0.0,0.1499999999999999,0.006322000561955606,0.07500000000000001,0.0749999999999999,0.0
warning_free,include_holds,Peking_3,4,0.25,0.75,0.0,0.0,-0.25,-0.5,-0.5,0.001264400112391121,-0.375,-0.125,0.0
