framework,cohort,unit,alpha,probability
cv,primary,repeat1_fold1,0.0,0.32
cv,primary,repeat1_fold1,0.25,0.091
cv,primary,repeat1_fold1,0.5,0.216
cv,primary,repeat1_fold1,0.75,0.21
cv,primary,repeat1_fold1,1.0,0.163
cv,primary,repeat1_fold2,0.0,0.64
cv,primary,repeat1_fold2,0.25,0.243
cv,primary,repeat1_fold2,0.5,0.035
cv,primary,repeat1_fold2,0.75,0.074
cv,primary,repeat1_fold2,1.0,0.008
cv,primary,repeat1_fold3,0.0,0.6
cv,primary,repeat1_fold3,0.25,0.26
cv,primary,repeat1_fold3,0.5,0.137
cv,primary,repeat1_fold3,0.75,0.003
cv,primary,repeat1_fold3,1.0,0.0
cv,primary,repeat2_fold1,0.0,0.192
cv,primary,repeat2_fold1,0.25,0.588
cv,primary,repeat2_fold1,0.5,0.089
cv,primary,repeat2_fold1,0.75,0.076
cv,primary,repeat2_fold1,1.0,0.055
cv,primary,repeat2_fold2,0.0,0.056
cv,primary,repeat2_fold2,0.25,0.131
cv,primary,repeat2_fold2,0.5,0.598
cv,primary,repeat2_fold2,0.75,0.173
cv,primary,repeat2_fold2,1.0,0.042
cv,primary,repeat2_fold3,0.0,0.201
cv,primary,repeat2_fold3,0.25,0.416
cv,primary,repeat2_fold3,0.5,0.127
cv,primary,repeat2_fold3,0.75,0.097
cv,primary,repeat2_fold3,1.0,0.159
cv,primary,repeat3_fold1,0.0,0.365
cv,primary,repeat3_fold1,0.25,0.247
cv,primary,repeat3_fold1,0.5,0.252
cv,primary,repeat3_fold1,0.75,0.115
cv,primary,repeat3_fold1,1.0,0.021
cv,primary,repeat3_fold2,0.0,0.796
cv,primary,repeat3_fold2,0.25,0.184
cv,primary,repeat3_fold2,0.5,0.018
cv,primary,repeat3_fold2,0.75,0.001
cv,primary,repeat3_fold2,1.0,0.001
cv,primary,repeat3_fold3,0.0,0.607
cv,primary,repeat3_fold3,0.25,0.289
cv,primary,repeat3_fold3,0.5,0.027
cv,primary,repeat3_fold3,0.75,0.076
cv,primary,repeat3_fold3,1.0,0.001
cv,primary,repeat4_fold1,0.0,0.883
cv,primary,repeat4_fold1,0.25,0.086
cv,primary,repeat4_fold1,0.5,0.028
cv,primary,repeat4_fold1,0.75,0.001
cv,primary,repeat4_fold1,1.0,0.002
cv,primary,repeat4_fold2,0.0,0.004
cv,primary,repeat4_fold2,0.25,0.014
cv,primary,repeat4_fold2,0.5,0.01
cv,primary,repeat4_fold2,0.75,0.444
cv,primary,repeat4_fold2,1.0,0.528
cv,primary,repeat4_fold3,0.0,0.055
cv,primary,repeat4_fold3,0.25,0.426
cv,primary,repeat4_fold3,0.5,0.514
cv,primary,repeat4_fold3,0.75,0.005
cv,primary,repeat4_fold3,1.0,0.0
cv,primary,repeat5_fold1,0.0,0.579
cv,primary,repeat5_fold1,0.25,0.11
cv,primary,repeat5_fold1,0.5,0.29
cv,primary,repeat5_fold1,0.75,0.007
cv,primary,repeat5_fold1,1.0,0.014
cv,primary,repeat5_fold2,0.0,0.792
cv,primary,repeat5_fold2,0.25,0.191
cv,primary,repeat5_fold2,0.5,0.011
cv,primary,repeat5_fold2,0.75,0.0
cv,primary,repeat5_fold2,1.0,0.006
cv,primary,repeat5_fold3,0.0,0.167
cv,primary,repeat5_fold3,0.25,0.0
cv,primary,repeat5_fold3,0.5,0.052
cv,primary,repeat5_fold3,0.75,0.712
cv,primary,repeat5_fold3,1.0,0.069
cv,warning_free,repeat1_fold1,0.0,0.156
cv,warning_free,repeat1_fold1,0.25,0.133
cv,warning_free,repeat1_fold1,0.5,0.05
cv,warning_free,repeat1_fold1,0.75,0.251
cv,warning_free,repeat1_fold1,1.0,0.41
cv,warning_free,repeat1_fold2,0.0,0.72
cv,warning_free,repeat1_fold2,0.25,0.127
cv,warning_free,repeat1_fold2,0.5,0.057
cv,warning_free,repeat1_fold2,0.75,0.024
cv,warning_free,repeat1_fold2,1.0,0.072
cv,warning_free,repeat1_fold3,0.0,0.788
cv,warning_free,repeat1_fold3,0.25,0.197
cv,warning_free,repeat1_fold3,0.5,0.007
cv,warning_free,repeat1_fold3,0.75,0.007
cv,warning_free,repeat1_fold3,1.0,0.001
cv,warning_free,repeat2_fold1,0.0,0.388
cv,warning_free,repeat2_fold1,0.25,0.063
cv,warning_free,repeat2_fold1,0.5,0.111
cv,warning_free,repeat2_fold1,0.75,0.336
cv,warning_free,repeat2_fold1,1.0,0.102
cv,warning_free,repeat2_fold2,0.0,0.029
cv,warning_free,repeat2_fold2,0.25,0.42
cv,warning_free,repeat2_fold2,0.5,0.314
cv,warning_free,repeat2_fold2,0.75,0.2
cv,warning_free,repeat2_fold2,1.0,0.037
cv,warning_free,repeat2_fold3,0.0,0.492
cv,warning_free,repeat2_fold3,0.25,0.051
cv,warning_free,repeat2_fold3,0.5,0.149
cv,warning_free,repeat2_fold3,0.75,0.297
cv,warning_free,repeat2_fold3,1.0,0.011
cv,warning_free,repeat3_fold1,0.0,0.081
cv,warning_free,repeat3_fold1,0.25,0.454
cv,warning_free,repeat3_fold1,0.5,0.363
cv,warning_free,repeat3_fold1,0.75,0.094
cv,warning_free,repeat3_fold1,1.0,0.008
cv,warning_free,repeat3_fold2,0.0,0.952
cv,warning_free,repeat3_fold2,0.25,0.004
cv,warning_free,repeat3_fold2,0.5,0.003
cv,warning_free,repeat3_fold2,0.75,0.039
cv,warning_free,repeat3_fold2,1.0,0.002
cv,warning_free,repeat3_fold3,0.0,0.718
cv,warning_free,repeat3_fold3,0.25,0.11
cv,warning_free,repeat3_fold3,0.5,0.168
cv,warning_free,repeat3_fold3,0.75,0.004
cv,warning_free,repeat3_fold3,1.0,0.0
cv,warning_free,repeat4_fold1,0.0,0.863
cv,warning_free,repeat4_fold1,0.25,0.032
cv,warning_free,repeat4_fold1,0.5,0.077
cv,warning_free,repeat4_fold1,0.75,0.02
cv,warning_free,repeat4_fold1,1.0,0.008
cv,warning_free,repeat4_fold2,0.0,0.0
cv,warning_free,repeat4_fold2,0.25,0.0
cv,warning_free,repeat4_fold2,0.5,0.081
cv,warning_free,repeat4_fold2,0.75,0.697
cv,warning_free,repeat4_fold2,1.0,0.222
cv,warning_free,repeat4_fold3,0.0,0.086
