framework,cohort,unit,validation_n,original_alpha,probability_same_alpha,probability_zero_alpha,original_test_delta,conditional_test_delta_q05,conditional_test_delta_q95,bootstrap_repetitions,scope
cv,primary,repeat1_fold1,45,0.5,0.216,0.32,-0.046444121915820036,-0.09869375907111766,0.0,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,primary,repeat1_fold2,46,0.0,0.64,0.64,0.0,-0.07465135356849895,0.0,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,primary,repeat1_fold3,48,0.0,0.6,0.6,0.0,0.0,0.028368794326241176,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,primary,repeat2_fold1,47,0.25,0.588,0.192,-0.00512820512820511,-0.12609351432880844,0.0,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,primary,repeat2_fold2,46,0.5,0.598,0.056,-0.001913265306122458,-0.020089285714285587,0.007653061224489832,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,primary,repeat2_fold3,46,0.25,0.416,0.201,0.008046614872364022,-0.029966703662597127,0.01637069922308554,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,primary,repeat3_fold1,46,0.25,0.247,0.365,-0.004422169811320598,-0.07989386792452813,0.0,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,primary,repeat3_fold2,47,0.0,0.796,0.796,0.0,-0.010153846153846069,0.0,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,primary,repeat3_fold3,45,0.0,0.607,0.607,0.0,-0.053529411764705825,0.0017647058823528905,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,primary,repeat4_fold1,47,0.0,0.883,0.883,0.0,0.0,0.016460905349794164,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,primary,repeat4_fold2,50,0.75,0.444,0.004,-0.05163043478260876,-0.07487922705314021,-0.05163043478260876,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,primary,repeat4_fold3,47,0.5,0.514,0.055,-0.010859728506787403,-0.010859728506787403,0.0015082956259426794,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,primary,repeat5_fold1,49,0.0,0.579,0.579,0.0,0.0,0.014399509803921573,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,primary,repeat5_fold2,47,0.0,0.792,0.792,0.0,-0.0011204481792717047,0.0,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,primary,repeat5_fold3,49,0.75,0.712,0.167,-0.05851229380641132,-0.08403361344537796,0.0,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,warning_free,repeat1_fold1,37,0.75,0.251,0.156,-0.07526080476900143,-0.0912816691505215,0.0,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,warning_free,repeat1_fold2,42,0.0,0.72,0.72,0.0,-0.060188827694728775,0.02202989771833197,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,warning_free,repeat1_fold3,40,0.0,0.788,0.788,0.0,0.0,0.027602905569007352,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,warning_free,repeat2_fold1,41,0.75,0.336,0.388,-0.0751847023033464,-0.14298131247283785,0.003042155584528472,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
cv,warning_free,repeat2_fold2,36,0.25,0.42,0.029,0.006746031746031833,-0.06746031746031755,0.006746031746031833,1000,fixed_models_final_alpha_only_validation_site_label_bootstrap
