repeat,fold,model,n_test,auc
1,1,structural_lr_full98,118,0.6008708272859216
1,1,structural_mlp_full98,118,0.6426705370101596
1,1,structural_lr_bio36,118,0.5216255442670538
1,1,structural_mlp_bio36,118,0.5320754716981132
1,2,structural_lr_full98,122,0.6404156412359858
1,2,structural_mlp_full98,122,0.6152584085315833
1,2,structural_lr_bio36,122,0.6081487558107739
1,2,structural_mlp_bio36,122,0.5507246376811594
1,3,structural_lr_full98,110,0.6453900709219859
1,3,structural_mlp_full98,110,0.6382978723404256
1,3,structural_lr_bio36,110,0.5599459642012834
1,3,structural_mlp_bio36,110,0.5319148936170213
2,1,structural_lr_full98,116,0.5806938159879336
2,1,structural_mlp_full98,116,0.5695324283559577
2,1,structural_lr_bio36,116,0.4829562594268476
2,1,structural_mlp_bio36,116,0.5227752639517345
2,2,structural_lr_full98,113,0.6339285714285714
2,2,structural_mlp_full98,113,0.6556122448979591
2,2,structural_lr_bio36,113,0.650829081632653
2,2,structural_mlp_bio36,113,0.6441326530612245
2,3,structural_lr_full98,121,0.5990566037735849
2,3,structural_mlp_full98,121,0.6329078801331853
2,3,structural_lr_bio36,121,0.5829633740288569
2,3,structural_mlp_bio36,121,0.553274139844617
3,1,structural_lr_full98,117,0.5795990566037736
3,1,structural_mlp_full98,117,0.5816627358490566
3,1,structural_lr_bio36,117,0.5928655660377359
3,1,structural_mlp_bio36,117,0.6137971698113208
3,2,structural_lr_full98,115,0.5873846153846153
3,2,structural_mlp_full98,115,0.5335384615384615
3,2,structural_lr_bio36,115,0.543076923076923
3,2,structural_mlp_bio36,115,0.5393846153846154
3,3,structural_lr_full98,118,0.5502941176470588
3,3,structural_mlp_full98,118,0.6144117647058824
3,3,structural_lr_bio36,118,0.575
3,3,structural_mlp_bio36,118,0.5661764705882353
4,1,structural_lr_full98,117,0.6725455614344503
4,1,structural_mlp_full98,117,0.6740152851263962
4,1,structural_lr_bio36,117,0.6137566137566137
4,1,structural_mlp_bio36,117,0.6613756613756614
4,2,structural_lr_full98,117,0.5664251207729468
4,2,structural_mlp_full98,117,0.5821256038647342
4,2,structural_lr_bio36,117,0.4836956521739131
4,2,structural_mlp_bio36,117,0.5443840579710145
4,3,structural_lr_full98,116,0.6929110105580694
4,3,structural_mlp_full98,116,0.6995475113122173
4,3,structural_lr_bio36,116,0.5882352941176471
4,3,structural_mlp_bio36,116,0.5746606334841629
5,1,structural_lr_full98,115,0.5471813725490196
5,1,structural_mlp_full98,115,0.5637254901960784
5,1,structural_lr_bio36,115,0.5291053921568627
5,1,structural_mlp_bio36,115,0.5364583333333333
5,2,structural_lr_full98,121,0.7025210084033614
5,2,structural_mlp_full98,121,0.6935574229691877
5,2,structural_lr_bio36,121,0.6016806722689075
5,2,structural_mlp_bio36,121,0.5862745098039216
5,3,structural_lr_full98,114,0.6647992530345471
5,3,structural_mlp_full98,114,0.6610644257703082
5,3,structural_lr_bio36,114,0.5751633986928104
5,3,structural_mlp_bio36,114,0.5406162464985994
