repeat,model,auc
1,structural_lr_bio36,0.5632400880930369
1,structural_lr_full98,0.6288921798146311
1,structural_mlp_bio36,0.5382383343320979
1,structural_mlp_full98,0.6320756059607229
2,structural_lr_bio36,0.5722495716961191
2,structural_lr_full98,0.60455966373003
2,structural_mlp_bio36,0.5733940189525253
2,structural_mlp_full98,0.6193508511290341
3,structural_lr_bio36,0.5703141630382196
3,structural_lr_full98,0.5724259298784826
3,structural_mlp_bio36,0.5731194185947238
3,structural_mlp_full98,0.5765376540311334
4,structural_lr_bio36,0.5618958533493913
4,structural_lr_full98,0.6439605642551555
4,structural_mlp_bio36,0.5934734509436129
4,structural_mlp_full98,0.6518961334344492
5,structural_lr_bio36,0.5686498210395269
5,structural_lr_full98,0.638167211328976
5,structural_mlp_bio36,0.5544496965452848
5,structural_mlp_full98,0.6394491129785248
