cohort,metric,candidate,reference,mean_delta,min_delta,max_delta,positive_repeats,total_repeats
primary,auc,full_fusion_mlp,full_functional_mlp,-0.0103,-0.0262,0.0000,0,5
primary,auc,full_fusion_lr,full_functional_lr,-0.0074,-0.0181,0.0004,1,5
primary,auc,image_fusion_mlp,tangent_mlp,0.0174,0.0076,0.0410,5,5
primary,auc,image_fusion_lr,tangent_lr,0.0169,0.0041,0.0418,5,5
primary,auc,full_functional_mlp,full_covariates_lr,-0.0125,-0.0287,0.0056,1,5
primary,auc,full_fusion_tiv_mlp,full_functional_tiv_mlp,-0.0105,-0.0277,0.0000,0,5
primary,auc,full_fusion_structural_mlp,full_functional_mlp,-0.0081,-0.0189,-0.0023,0,5
primary,auc,structural_mlp,structural_lr,0.0063,0.0013,0.0148,5,5
primary,auc,structural_tiv_lr,structural_lr,-0.0035,-0.0138,0.0002,1,5
primary,within_site_auc,full_fusion_mlp,full_functional_mlp,-0.0067,-0.0202,0.0018,2,5
primary,within_site_auc,full_fusion_lr,full_functional_lr,-0.0034,-0.0088,0.0005,1,5
primary,within_site_auc,image_fusion_mlp,tangent_mlp,0.0251,0.0018,0.0528,5,5
primary,within_site_auc,image_fusion_lr,tangent_lr,0.0241,0.0064,0.0553,5,5
primary,within_site_auc,full_functional_mlp,full_covariates_lr,-0.0169,-0.0404,0.0148,2,5
primary,within_site_auc,full_fusion_tiv_mlp,full_functional_tiv_mlp,-0.0088,-0.0301,0.0071,1,5
primary,within_site_auc,full_fusion_structural_mlp,full_functional_mlp,-0.0082,-0.0155,0.0037,1,5
primary,within_site_auc,structural_mlp,structural_lr,0.0014,-0.0262,0.0197,3,5
primary,within_site_auc,structural_tiv_lr,structural_lr,-0.0022,-0.0098,0.0001,2,5
warning_free,auc,full_fusion_mlp,full_functional_mlp,-0.0056,-0.0278,0.0074,1,5
warning_free,auc,full_fusion_lr,full_functional_lr,-0.0169,-0.0368,0.0000,0,5
warning_free,auc,image_fusion_mlp,tangent_mlp,0.0072,-0.0169,0.0300,3,5
warning_free,auc,image_fusion_lr,tangent_lr,0.0087,-0.0069,0.0215,4,5
warning_free,auc,full_functional_mlp,full_covariates_lr,-0.0050,-0.0186,0.0189,2,5
warning_free,auc,full_fusion_tiv_mlp,full_functional_tiv_mlp,-0.0089,-0.0278,0.0058,2,5
warning_free,auc,full_fusion_structural_mlp,full_functional_mlp,-0.0058,-0.0229,0.0214,1,5
warning_free,auc,structural_mlp,structural_lr,0.0105,-0.0003,0.0231,4,5
warning_free,auc,structural_tiv_lr,structural_lr,0.0009,-0.0004,0.0037,3,5
warning_free,within_site_auc,full_fusion_mlp,full_functional_mlp,-0.0011,-0.0044,0.0042,1,5
warning_free,within_site_auc,full_fusion_lr,full_functional_lr,-0.0113,-0.0437,0.0023,1,5
warning_free,within_site_auc,image_fusion_mlp,tangent_mlp,0.0048,-0.0306,0.0203,4,5
warning_free,within_site_auc,image_fusion_lr,tangent_lr,0.0107,-0.0237,0.0290,4,5
warning_free,within_site_auc,full_functional_mlp,full_covariates_lr,0.0011,-0.0415,0.0365,3,5
warning_free,within_site_auc,full_fusion_tiv_mlp,full_functional_tiv_mlp,-0.0081,-0.0261,0.0018,2,5
warning_free,within_site_auc,full_fusion_structural_mlp,full_functional_mlp,-0.0071,-0.0300,0.0267,2,5
warning_free,within_site_auc,structural_mlp,structural_lr,0.0048,-0.0178,0.0272,3,5
warning_free,within_site_auc,structural_tiv_lr,structural_lr,0.0004,-0.0056,0.0044,3,5
include_holds,auc,full_fusion_mlp,full_functional_mlp,-0.0066,-0.0151,-0.0004,0,5
include_holds,auc,full_fusion_lr,full_functional_lr,-0.0132,-0.0218,-0.0037,0,5
include_holds,auc,image_fusion_mlp,tangent_mlp,0.0015,-0.0130,0.0196,2,5
include_holds,auc,image_fusion_lr,tangent_lr,0.0033,-0.0095,0.0182,3,5
include_holds,auc,full_functional_mlp,full_covariates_lr,-0.0030,-0.0279,0.0120,2,5
include_holds,auc,full_fusion_tiv_mlp,full_functional_tiv_mlp,-0.0081,-0.0156,-0.0011,0,5
include_holds,auc,full_fusion_structural_mlp,full_functional_mlp,-0.0014,-0.0084,0.0060,2,5
include_holds,auc,structural_mlp,structural_lr,0.0223,0.0049,0.0516,5,5
include_holds,auc,structural_tiv_lr,structural_lr,0.0040,-0.0013,0.0154,4,5
include_holds,within_site_auc,full_fusion_mlp,full_functional_mlp,-0.0003,-0.0114,0.0187,2,5
include_holds,within_site_auc,full_fusion_lr,full_functional_lr,-0.0077,-0.0278,0.0074,1,5
include_holds,within_site_auc,image_fusion_mlp,tangent_mlp,0.0075,-0.0076,0.0226,3,5
include_holds,within_site_auc,image_fusion_lr,tangent_lr,0.0058,-0.0033,0.0151,4,5
include_holds,within_site_auc,full_functional_mlp,full_covariates_lr,-0.0053,-0.0464,0.0293,2,5
include_holds,within_site_auc,full_fusion_tiv_mlp,full_functional_tiv_mlp,-0.0015,-0.0152,0.0187,1,5
include_holds,within_site_auc,full_fusion_structural_mlp,full_functional_mlp,0.0015,-0.0112,0.0164,2,5
include_holds,within_site_auc,structural_mlp,structural_lr,0.0205,-0.0081,0.0324,4,5
include_holds,within_site_auc,structural_tiv_lr,structural_lr,0.0032,-0.0031,0.0169,3,5
