cohort,model,mean_auc,min_repeat_auc,max_repeat_auc,within_site_auc,mean_ap,mean_brier
primary,full_covariates_lr,0.7103,0.6934,0.7205,0.6689,0.6748,0.2236
primary,full_covariates_tiv_lr,0.7115,0.7001,0.7241,0.6729,0.6743,0.2225
primary,full_functional_lr,0.6940,0.6657,0.7156,0.6542,0.6429,0.2276
primary,full_functional_mlp,0.6977,0.6693,0.7174,0.6519,0.6510,0.2275
primary,full_functional_tiv_mlp,0.7087,0.6971,0.7175,0.6662,0.6624,0.2228
primary,full_fusion_lr,0.6866,0.6661,0.7156,0.6508,0.6361,0.2329
primary,full_fusion_mlp,0.6875,0.6690,0.7163,0.6452,0.6359,0.2285
primary,full_fusion_structural_mlp,0.6897,0.6670,0.7128,0.6438,0.6428,0.2275
primary,full_fusion_tiv_mlp,0.6982,0.6898,0.7138,0.6573,0.6488,0.2263
primary,image_fusion_lr,0.6321,0.6129,0.6450,0.5979,0.5736,0.2584
primary,image_fusion_mlp,0.6384,0.6175,0.6552,0.6061,0.5774,0.2582
primary,structural_lr,0.6176,0.5724,0.6440,0.5809,0.5586,0.2857
primary,structural_mlp,0.6239,0.5765,0.6519,0.5822,0.5657,0.2619
primary,structural_tiv_lr,0.6141,0.5709,0.6357,0.5787,0.5575,0.2948
primary,tangent_lr,0.6152,0.6030,0.6353,0.5738,0.5580,0.2514
primary,tangent_mlp,0.6210,0.6023,0.6417,0.5810,0.5576,0.2585
primary,tiv_lr,0.5015,0.4415,0.5299,0.5044,0.4429,0.2503
warning_free,full_covariates_lr,0.7040,0.6659,0.7180,0.6374,0.6148,0.2268
warning_free,full_covariates_tiv_lr,0.7029,0.6739,0.7226,0.6386,0.6168,0.2227
warning_free,full_functional_lr,0.6987,0.6828,0.7187,0.6330,0.6042,0.2247
warning_free,full_functional_mlp,0.6990,0.6849,0.7133,0.6385,0.6055,0.2256
warning_free,full_functional_tiv_mlp,0.7022,0.6824,0.7185,0.6414,0.6067,0.2226
warning_free,full_fusion_lr,0.6818,0.6513,0.7187,0.6217,0.5861,0.2347
warning_free,full_fusion_mlp,0.6934,0.6814,0.7133,0.6375,0.5977,0.2319
warning_free,full_fusion_structural_mlp,0.6932,0.6722,0.7106,0.6315,0.5966,0.2254
warning_free,full_fusion_tiv_mlp,0.6933,0.6803,0.7060,0.6333,0.5926,0.2349
warning_free,image_fusion_lr,0.6272,0.6213,0.6361,0.5683,0.5217,0.2535
warning_free,image_fusion_mlp,0.6347,0.6121,0.6502,0.5796,0.5285,0.2456
warning_free,structural_lr,0.6068,0.5783,0.6403,0.5567,0.5065,0.2967
warning_free,structural_mlp,0.6172,0.5888,0.6400,0.5615,0.5264,0.2502
warning_free,structural_tiv_lr,0.6077,0.5779,0.6406,0.5571,0.5055,0.3000
warning_free,tangent_lr,0.6186,0.6126,0.6282,0.5576,0.5249,0.2533
warning_free,tangent_mlp,0.6276,0.6182,0.6347,0.5748,0.5382,0.2423
warning_free,tiv_lr,0.4934,0.4556,0.5268,0.4894,0.3970,0.2504
include_holds,full_covariates_lr,0.7084,0.6947,0.7186,0.6687,0.6657,0.2247
include_holds,full_covariates_tiv_lr,0.7109,0.6933,0.7260,0.6686,0.6652,0.2206
include_holds,full_functional_lr,0.7093,0.6925,0.7310,0.6711,0.6495,0.2237
include_holds,full_functional_mlp,0.7054,0.6907,0.7253,0.6633,0.6493,0.2250
include_holds,full_functional_tiv_mlp,0.7102,0.6994,0.7290,0.6688,0.6535,0.2212
include_holds,full_fusion_lr,0.6960,0.6794,0.7163,0.6634,0.6405,0.2261
include_holds,full_fusion_mlp,0.6988,0.6755,0.7141,0.6631,0.6436,0.2245
include_holds,full_fusion_structural_mlp,0.7039,0.6926,0.7197,0.6649,0.6436,0.2241
include_holds,full_fusion_tiv_mlp,0.7021,0.6838,0.7164,0.6673,0.6448,0.2228
include_holds,image_fusion_lr,0.6408,0.6231,0.6652,0.6088,0.5898,0.2494
include_holds,image_fusion_mlp,0.6450,0.6258,0.6632,0.6153,0.5895,0.2468
include_holds,structural_lr,0.6140,0.5767,0.6400,0.5794,0.5592,0.2805
include_holds,structural_mlp,0.6363,0.5903,0.6633,0.5999,0.5803,0.2627
include_holds,structural_tiv_lr,0.6180,0.5817,0.6392,0.5826,0.5613,0.2745
include_holds,tangent_lr,0.6375,0.6270,0.6470,0.6030,0.5825,0.2449
include_holds,tangent_mlp,0.6435,0.6373,0.6520,0.6078,0.5841,0.2540
include_holds,tiv_lr,0.5111,0.4819,0.5286,0.5120,0.4496,0.2501
