framework,cohort,unit,role,n,label1,label0
cv,primary,repeat4_fold3,train,187,80,107
cv,primary,repeat4_fold3,validation,47,22,25
cv,primary,repeat4_fold3,test,116,51,65
cv,primary,repeat5_fold2,train,182,81,101
cv,primary,repeat5_fold2,validation,47,21,26
cv,primary,repeat5_fold2,test,121,51,70
cv,primary,repeat1_fold3,train,192,86,106
cv,primary,repeat1_fold3,validation,48,20,28
cv,primary,repeat1_fold3,test,110,47,63
cv,primary,repeat1_fold1,train,187,81,106
cv,primary,repeat1_fold1,validation,45,19,26
cv,primary,repeat1_fold1,test,118,53,65
cv,primary,repeat5_fold3,train,187,81,106
cv,primary,repeat5_fold3,validation,49,21,28
cv,primary,repeat5_fold3,test,114,51,63
cv,primary,repeat3_fold3,train,187,83,104
cv,primary,repeat3_fold3,validation,45,20,25
cv,primary,repeat3_fold3,test,118,50,68
cv,primary,repeat2_fold2,train,191,83,108
cv,primary,repeat2_fold2,validation,46,21,25
cv,primary,repeat2_fold2,test,113,49,64
cv,primary,repeat2_fold1,train,187,84,103
cv,primary,repeat2_fold1,validation,47,18,29
cv,primary,repeat2_fold1,test,116,51,65
cv,primary,repeat4_fold2,train,183,82,101
cv,primary,repeat4_fold2,validation,50,23,27
cv,primary,repeat4_fold2,test,117,48,69
cv,primary,repeat4_fold1,train,186,80,106
cv,primary,repeat4_fold1,validation,47,19,28
cv,primary,repeat4_fold1,test,117,54,63
cv,primary,repeat3_fold1,train,187,81,106
cv,primary,repeat3_fold1,validation,46,19,27
cv,primary,repeat3_fold1,test,117,53,64
cv,primary,repeat3_fold2,train,188,83,105
cv,primary,repeat3_fold2,validation,47,20,27
cv,primary,repeat3_fold2,test,115,50,65
cv,primary,repeat1_fold2,train,182,79,103
cv,primary,repeat1_fold2,validation,46,21,25
cv,primary,repeat1_fold2,test,122,53,69
cv,primary,repeat5_fold1,train,186,82,104
cv,primary,repeat5_fold1,validation,49,20,29
cv,primary,repeat5_fold1,test,115,51,64
cv,primary,repeat2_fold3,train,183,79,104
cv,primary,repeat2_fold3,validation,46,21,25
cv,primary,repeat2_fold3,test,121,53,68
loso,primary,site_Peking_1,train,255,116,139
loso,primary,site_Peking_1,validation,46,21,25
loso,primary,site_Peking_1,test,49,16,33
loso,primary,site_Peking_2,train,285,122,163
loso,primary,site_Peking_2,validation,51,22,29
loso,primary,site_Peking_2,test,14,9,5
loso,primary,site_Peking_3,train,292,127,165
loso,primary,site_Peking_3,validation,52,23,29
loso,primary,site_Peking_3,test,6,3,3
loso,primary,site_KKI,train,227,111,116
loso,primary,site_KKI,validation,41,20,21
loso,primary,site_KKI,test,82,22,60
loso,primary,site_OHSU,train,270,119,151
loso,primary,site_OHSU,validation,48,21,27
loso,primary,site_OHSU,test,32,13,19
loso,primary,site_NeuroIMAGE,train,273,119,154
loso,primary,site_NeuroIMAGE,validation,49,21,28
loso,primary,site_NeuroIMAGE,test,28,13,15
loso,primary,site_NYU,train,179,65,114
loso,primary,site_NYU,validation,32,11,21
loso,primary,site_NYU,test,139,77,62
cv,warning_free,repeat4_fold3,train,159,61,98
cv,warning_free,repeat4_fold3,validation,42,18,24
cv,warning_free,repeat4_fold3,test,101,41,60
cv,warning_free,repeat5_fold2,train,152,61,91
cv,warning_free,repeat5_fold2,validation,43,18,25
cv,warning_free,repeat5_fold2,test,107,41,66
cv,warning_free,repeat1_fold3,train,168,70,98
cv,warning_free,repeat1_fold3,validation,40,15,25
cv,warning_free,repeat1_fold3,test,94,35,59
cv,warning_free,repeat1_fold1,train,160,61,99
cv,warning_free,repeat1_fold1,validation,37,15,22
cv,warning_free,repeat1_fold1,test,105,44,61
cv,warning_free,repeat5_fold3,train,166,65,101
cv,warning_free,repeat5_fold3,validation,42,18,24
cv,warning_free,repeat5_fold3,test,94,37,57
cv,warning_free,repeat3_fold3,train,162,63,99
cv,warning_free,repeat3_fold3,validation,39,19,20
