cohort,site,label,variable,n_total,n_observed,n_missing,mean,sd,median,q1,q3,min,max
reviewed,ALL,ALL,age_years,378,378,0,11.364867724867725,2.902120711542973,10.815000000000001,9.17,12.79,7.17,20.89
reviewed,ALL,ALL,mean_fd,378,375,3,0.2072217264878852,0.34269934843777106,0.1302883264971428,0.0956092417817142,0.1897686431132467,0.0445466502206753,3.652142740615385
reviewed,ALL,ALL,pct_fd_gt_0p2,378,375,3,0.2060651594846394,0.2076156119630877,0.1428571428571428,0.0539753639417693,0.30616403464085584,0.0,0.987012987012987
reviewed,ALL,ALL,mean_dvars,378,375,3,1.124604113779079,0.09202929636075215,1.108127055319149,1.0584359142857143,1.1727430179653373,0.939675512195122,1.5313413815789472
reviewed,ALL,ALL,max_fd,378,375,3,1.6611206888748427,3.476585687814321,0.7053369,0.391737785,1.548575875,0.083989724076,41.187792
reviewed,ALL,ALL,n_volumes,378,375,3,175.36,50.5932294512829,176.0,152.0,235.0,77.0,261.0
reviewed,ALL,ALL,tiv_mm3,378,378,0,1536943.8079365082,136436.0092089693,1536445.5499999998,1456712.8250000002,1635617.025,1163524.8,1899012.0
reviewed,ALL,0,age_years,211,211,0,11.386398104265403,2.89144128054739,10.82,9.2,12.78,7.17,20.47
reviewed,ALL,0,mean_fd,211,209,2,0.1675643686404374,0.24109133724522377,0.1154775503810526,0.0894550253371428,0.1678774640634146,0.0492389857777142,3.0823442494285715
reviewed,ALL,0,pct_fd_gt_0p2,211,209,2,0.16894767180429807,0.1789882288640807,0.1,0.0457142857142857,0.2228571428571428,0.0,0.96
reviewed,ALL,0,mean_dvars,211,209,2,1.1344442067772404,0.0987344721960488,1.1132045364238408,1.0679211542857143,1.1959757574468086,0.939675512195122,1.5313413815789472
reviewed,ALL,0,max_fd,211,209,2,1.3934322057250716,3.399453858972024,0.60681205,0.32743065,1.3414408,0.14499373,41.187792
reviewed,ALL,0,n_volumes,211,209,2,172.5311004784689,52.3697123201442,176.0,124.0,235.0,77.0,261.0
reviewed,ALL,0,tiv_mm3,211,211,0,1533820.845971564,140763.1627317643,1533016.5,1453040.1,1633970.5,1163524.8,1899012.0
reviewed,ALL,1,age_years,167,167,0,11.337664670658683,2.924034790001978,10.81,9.17,12.855,7.25,20.89
reviewed,ALL,1,mean_fd,167,166,1,0.2571517734162984,0.4340861626868326,0.15484404092243126,0.10259270415589661,0.21456602166832747,0.0445466502206753,3.652142740615385
reviewed,ALL,1,pct_fd_gt_0p2,167,166,1,0.2527974180701294,0.2310301845246452,0.1904395604395604,0.08617021276595743,0.35535477767265844,0.0,0.987012987012987
reviewed,ALL,1,mean_dvars,167,166,1,1.1122150810283817,0.08143222683043078,1.0955904453846155,1.0537976471428572,1.1546784094076654,0.9624498742857142,1.4206781948051947
reviewed,ALL,1,max_fd,167,166,1,1.9981501646477469,3.5529472849789228,0.9835857365000001,0.47660865,1.812273,0.083989724076,27.15052
reviewed,ALL,1,n_volumes,167,166,1,178.92168674698794,48.184115446691195,176.0,176.0,220.25,77.0,261.0
reviewed,ALL,1,tiv_mm3,167,167,0,1540889.586227545,131078.0051578595,1549226.2,1460603.85,1639966.1,1210868.1,1874811.0
reviewed,KKI,ALL,age_years,82,82,0,10.25548780487805,1.3502383442448953,10.135,9.09,11.0975,8.02,12.99
reviewed,KKI,ALL,mean_fd,82,82,0,0.17851599732405773,0.10673891520349926,0.14950914902640117,0.10583134542334025,0.22503006507753187,0.0601547855430894,0.6088566254634146
reviewed,KKI,ALL,pct_fd_gt_0p2,82,82,0,0.2368990916528451,0.1938065615157405,0.17476982716847028,0.0794701986754966,0.3637942174123727,0.0,0.8211382113821138
reviewed,KKI,ALL,mean_dvars,82,82,0,1.1180638715129356,0.0664925854439291,1.1222567127281537,1.0709018642384105,1.1648364735772359,0.939675512195122,1.2853920662251654
reviewed,KKI,ALL,max_fd,82,82,0,1.340999071280488,1.3598388170922233,0.8293266425,0.4938895325,1.7842893,0.15619105,8.5729424
reviewed,KKI,ALL,n_volumes,82,82,0,133.90243902439025,13.469315614147588,124.0,124.0,152.0,124.0,152.0
reviewed,KKI,ALL,tiv_mm3,82,82,0,1559034.601219512,125511.14176514171,1558983.5,1477503.85,1659225.7000000002,1298144.5,1835236.9
reviewed,KKI,0,age_years,60,60,0,10.268833333333331,1.2787123974843702,10.21,9.255,11.0925,8.02,12.87
reviewed,KKI,0,mean_fd,60,60,0,0.1651459379798724,0.09061295130754315,0.139204561902439,0.09400218875493853,0.21921761308329346,0.0601547855430894,0.4476096466260163
reviewed,KKI,0,pct_fd_gt_0p2,60,60,0,0.21026310594231762,0.18581924835121189,0.1456953642384106,0.07113821138211375,0.3077451138749798,0.0,0.6097560975609756
reviewed,KKI,0,mean_dvars,60,60,0,1.1165974155144565,0.07025077149000385,1.1129154795940341,1.072039063385021,1.1601776323561084,0.939675512195122,1.2853920662251654
reviewed,KKI,0,max_fd,60,60,0,1.3708419496333335,1.514101113028902,0.7167850674999999,0.4567464275,1.8017391249999999,0.15619105,8.5729424
reviewed,KKI,0,n_volumes,60,60,0,135.2,13.832901089155987,124.0,124.0,152.0,124.0,152.0
