cohort,site,label,n,male_n,female_n,sex_missing,label1_n,label0_n
reviewed,ALL,ALL,378,231,147,0,167,211
reviewed,ALL,0,211,105,106,0,0,211
reviewed,ALL,1,167,126,41,0,167,0
reviewed,KKI,ALL,82,46,36,0,22,60
reviewed,KKI,0,60,34,26,0,0,60
reviewed,KKI,1,22,12,10,0,22,0
reviewed,NYU,ALL,162,107,55,0,89,73
reviewed,NYU,0,73,36,37,0,0,73
reviewed,NYU,1,89,71,18,0,89,0
reviewed,NeuroIMAGE,ALL,29,18,11,0,14,15
reviewed,NeuroIMAGE,0,15,7,8,0,0,15
reviewed,NeuroIMAGE,1,14,11,3,0,14,0
reviewed,OHSU,ALL,35,18,17,0,14,21
reviewed,OHSU,0,21,9,12,0,0,21
reviewed,OHSU,1,14,9,5,0,14,0
reviewed,Peking_1,ALL,50,22,28,0,16,34
reviewed,Peking_1,0,34,11,23,0,0,34
reviewed,Peking_1,1,16,11,5,0,16,0
reviewed,Peking_2,ALL,14,14,0,0,9,5
reviewed,Peking_2,0,5,5,0,0,0,5
reviewed,Peking_2,1,9,9,0,0,9,0
reviewed,Peking_3,ALL,6,6,0,0,3,3
reviewed,Peking_3,0,3,3,0,0,0,3
reviewed,Peking_3,1,3,3,0,0,3,0
primary,ALL,ALL,350,213,137,0,153,197
primary,ALL,0,197,97,100,0,0,197
primary,ALL,1,153,116,37,0,153,0
primary,KKI,ALL,82,46,36,0,22,60
primary,KKI,0,60,34,26,0,0,60
primary,KKI,1,22,12,10,0,22,0
primary,NYU,ALL,139,92,47,0,77,62
primary,NYU,0,62,30,32,0,0,62
primary,NYU,1,77,62,15,0,77,0
primary,NeuroIMAGE,ALL,28,17,11,0,13,15
primary,NeuroIMAGE,0,15,7,8,0,0,15
primary,NeuroIMAGE,1,13,10,3,0,13,0
primary,OHSU,ALL,32,17,15,0,13,19
primary,OHSU,0,19,8,11,0,0,19
primary,OHSU,1,13,9,4,0,13,0
primary,Peking_1,ALL,49,21,28,0,16,33
primary,Peking_1,0,33,10,23,0,0,33
primary,Peking_1,1,16,11,5,0,16,0
primary,Peking_2,ALL,14,14,0,0,9,5
primary,Peking_2,0,5,5,0,0,0,5
primary,Peking_2,1,9,9,0,0,9,0
primary,Peking_3,ALL,6,6,0,0,3,3
primary,Peking_3,0,3,3,0,0,0,3
primary,Peking_3,1,3,3,0,0,3,0
warning_free,ALL,ALL,302,182,120,0,120,182
warning_free,ALL,0,182,90,92,0,0,182
warning_free,ALL,1,120,92,28,0,120,0
warning_free,KKI,ALL,72,42,30,0,15,57
warning_free,KKI,0,57,32,25,0,0,57
warning_free,KKI,1,15,10,5,0,15,0
warning_free,NYU,ALL,113,74,39,0,60,53
warning_free,NYU,0,53,27,26,0,0,53
warning_free,NYU,1,60,47,13,0,60,0
warning_free,NeuroIMAGE,ALL,26,16,10,0,11,15
warning_free,NeuroIMAGE,0,15,7,8,0,0,15
warning_free,NeuroIMAGE,1,11,9,2,0,11,0
warning_free,OHSU,ALL,26,13,13,0,9,17
warning_free,OHSU,0,17,7,10,0,0,17
warning_free,OHSU,1,9,6,3,0,9,0
warning_free,Peking_1,ALL,48,20,28,0,15,33
warning_free,Peking_1,0,33,10,23,0,0,33
warning_free,Peking_1,1,15,10,5,0,15,0
warning_free,Peking_2,ALL,13,13,0,0,8,5
warning_free,Peking_2,0,5,5,0,0,0,5
warning_free,Peking_2,1,8,8,0,0,8,0
warning_free,Peking_3,ALL,4,4,0,0,2,2
warning_free,Peking_3,0,2,2,0,0,0,2
warning_free,Peking_3,1,2,2,0,0,2,0
include_holds,ALL,ALL,375,229,146,0,165,210
include_holds,ALL,0,210,104,106,0,0,210
include_holds,ALL,1,165,125,40,0,165,0
include_holds,KKI,ALL,82,46,36,0,22,60
include_holds,KKI,0,60,34,26,0,0,60
include_holds,KKI,1,22,12,10,0,22,0
include_holds,NYU,ALL,160,105,55,0,88,72
include_holds,NYU,0,72,35,37,0,0,72
include_holds,NYU,1,88,70,18,0,88,0
include_holds,NeuroIMAGE,ALL,29,18,11,0,14,15
include_holds,NeuroIMAGE,0,15,7,8,0,0,15
include_holds,NeuroIMAGE,1,14,11,3,0,14,0
include_holds,OHSU,ALL,34,18,16,0,13,21
include_holds,OHSU,0,21,9,12,0,0,21
include_holds,OHSU,1,13,9,4,0,13,0
include_holds,Peking_1,ALL,50,22,28,0,16,34
include_holds,Peking_1,0,34,11,23,0,0,34
include_holds,Peking_1,1,16,11,5,0,16,0
include_holds,Peking_2,ALL,14,14,0,0,9,5
include_holds,Peking_2,0,5,5,0,0,0,5
include_holds,Peking_2,1,9,9,0,0,9,0
include_holds,Peking_3,ALL,6,6,0,0,3,3
include_holds,Peking_3,0,3,3,0,0,0,3
include_holds,Peking_3,1,3,3,0,0,3,0
