site,qc_status,label,n
KKI,candidate_signal_warning,0.0,3
KKI,candidate_signal_warning,1.0,7
KKI,coarse_review_candidate,0.0,57
KKI,coarse_review_candidate,1.0,15
NYU,candidate_signal_warning,0.0,9
NYU,candidate_signal_warning,1.0,17
NYU,coarse_review_candidate,0.0,53
NYU,coarse_review_candidate,1.0,60
NYU,hold_anatomical_review,0.0,10
NYU,hold_anatomical_review,1.0,11
NYU,image_quality_failure,0.0,1
NYU,image_quality_failure,1.0,1
NeuroIMAGE,candidate_signal_warning,1.0,2
NeuroIMAGE,coarse_review_candidate,0.0,15
NeuroIMAGE,coarse_review_candidate,1.0,11
NeuroIMAGE,hold_anatomical_review,1.0,1
OHSU,candidate_signal_warning,0.0,2
OHSU,candidate_signal_warning,1.0,4
OHSU,coarse_review_candidate,0.0,17
OHSU,coarse_review_candidate,1.0,9
OHSU,hold_anatomical_review,0.0,2
OHSU,image_quality_failure,1.0,1
Peking_1,candidate_signal_warning,1.0,1
Peking_1,coarse_review_candidate,0.0,33
Peking_1,coarse_review_candidate,1.0,15
Peking_1,hold_anatomical_review,0.0,1
Peking_2,candidate_signal_warning,1.0,1
Peking_2,coarse_review_candidate,0.0,5
Peking_2,coarse_review_candidate,1.0,8
Peking_3,candidate_signal_warning,0.0,1
Peking_3,candidate_signal_warning,1.0,1
Peking_3,coarse_review_candidate,0.0,2
Peking_3,coarse_review_candidate,1.0,2
