cohort,contrast,candidate,reference,metric,mean_delta,se_nb,ci90_lo,ci90_hi,ci90_lo_df2,ci90_hi_df2,positive_of_15,negative_of_15
primary,P,full_fusion_structural_mlp,full_functional_mlp,auc,-0.01139090695899411,0.0162605262235465,-0.040030736609559976,0.01724892269157175,-0.058871409060713496,0.03608959514272527,1,7
primary,S1,full_functional_mlp,full_covariates_lr,auc,-0.006760279824322871,0.019408526904326977,-0.04094471498137364,0.027424155332727903,-0.06343289852086495,0.0499123388722192,4,6
primary,S2,full_fusion_mlp,full_functional_mlp,auc,-0.011196355013741248,0.02274495845332393,-0.051257280875359475,0.028864570847876976,-0.07761130572319166,0.055218595695709166,4,4
primary,S3,full_fusion_lr,full_functional_lr,auc,-0.007413711336441523,0.020129007099260233,-0.04286713556345331,0.028039712890570265,-0.06619012181311915,0.051362699140236105,4,5
primary,S4,image_fusion_mlp,tangent_mlp,auc,0.019857003373628872,0.021488873848829356,-0.017991567942702267,0.057705574689960015,-0.042890198402993074,0.08260420515025083,11,1
primary,S5,full_fusion_tiv_mlp,full_functional_tiv_mlp,auc,-0.008354756266407855,0.017080718184241946,-0.038439198330627686,0.021729685797811978,-0.05823020706647998,0.041520694533664276,2,5
primary,E1,structural_mlp,structural_lr,auc,0.007965363327594144,0.023282968544846173,-0.03304316516137139,0.04897389181655967,-0.06002056909118602,0.07595129574637431,10,5
primary,P,full_fusion_structural_mlp,full_functional_mlp,within_site_auc,-0.013042085920399068,0.01986641192843392,-0.04803299861142893,0.021948826770630796,-0.07105172228479334,0.0449675504439952,1,6
primary,S1,full_functional_mlp,full_covariates_lr,within_site_auc,-0.008970014775624823,0.03238249937736448,-0.06600563915070098,0.04806560959945133,-0.10352644601334257,0.08558641646209292,6,4
primary,S2,full_fusion_mlp,full_functional_mlp,within_site_auc,-0.008162684845534573,0.01729928858025757,-0.03863209716363705,0.02230672747256791,-0.05867635805026453,0.04235098835919539,3,4
primary,S3,full_fusion_lr,full_functional_lr,within_site_auc,-0.003350043582174389,0.016697177519053173,-0.03275895158531539,0.026058864420966613,-0.05210556117041602,0.045405474006067245,3,6
primary,S4,image_fusion_mlp,tangent_mlp,within_site_auc,0.02609519881036252,0.037545134553951844,-0.04003342722854495,0.09222382484927,-0.08353605269961722,0.13572645032034225,9,5
primary,S5,full_fusion_tiv_mlp,full_functional_tiv_mlp,within_site_auc,-0.005871753958154816,0.014280944453142569,-0.03102492617191303,0.019281418255603398,-0.047571905835163616,0.03582839791885399,4,4
primary,E1,structural_mlp,structural_lr,within_site_auc,6.72319440706152e-05,0.024124591468099907,-0.04242365553012221,0.042558119418263436,-0.07037622727470559,0.07051069116284682,8,7
warning_free,P,full_fusion_structural_mlp,full_functional_mlp,auc,-0.010590027597086634,0.022996651643683075,-0.05109426322598994,0.02991420803181668,-0.07773991879305898,0.05655986359888572,3,4
warning_free,S1,full_functional_mlp,full_covariates_lr,auc,0.00046224744027054674,0.01675813031192243,-0.02905401733475486,0.029978512215295957,-0.0484712514242316,0.0493957463047727,7,4
warning_free,S2,full_fusion_mlp,full_functional_mlp,auc,-0.009044462864880535,0.017839149596571846,-0.04046473786292709,0.02237581213316602,-0.06113452245264328,0.04304559672288222,3,5
warning_free,S3,full_fusion_lr,full_functional_lr,auc,-0.016898743693107034,0.027340397453318496,-0.06505366284375091,0.03125617545753685,-0.09673231001793674,0.06293482263172266,2,5
warning_free,S4,image_fusion_mlp,tangent_mlp,auc,0.008593594512377616,0.02512905714422169,-0.035666468538206486,0.05285365756296172,-0.06478288999663445,0.0819700790213897,9,3
warning_free,S5,full_fusion_tiv_mlp,full_functional_tiv_mlp,auc,-0.013271496669047922,0.024748838402248417,-0.05686187659558292,0.030318883257487078,-0.08553774793411781,0.058994754596021964,4,5
warning_free,E1,structural_mlp,structural_lr,auc,0.01414631619494485,0.02148233555942799,-0.023690739165993027,0.05198337155588273,-0.04858179387090494,0.07687442626079463,9,6
