model,pair_weighted_auc,macro_auc,pooled_auc,pair_weighted_auc_drop_small,macro_auc_drop_small,n_sites
full_covariates_lr,0.6705535262714245,0.7108720119452597,0.6682591818453271,0.670158550396376,0.6796652611678079,7
full_covariates_tiv_lr,0.6694296150604102,0.6946106138047686,0.6696858100262101,0.670158550396376,0.6746770815488982,7
full_functional_lr,0.6375386344478786,0.6746530583572786,0.5950366610265088,0.636466591166478,0.6511809483668567,7
full_functional_mlp,0.6831975273953358,0.6807157852119046,0.6306360107494774,0.682757644394111,0.6685576548522218,7
full_functional_tiv_mlp,0.6792638381567856,0.680725120474696,0.6307023655485884,0.6792185730464326,0.6641262797756855,7
full_fusion_lr,0.6458274796291092,0.6057617157817254,0.5955674994193955,0.6466591166477916,0.6658441798721934,7
full_fusion_mlp,0.6909244169710593,0.61149027388113,0.6341859925019078,0.692242355605889,0.6783086056558043,7
full_fusion_structural_mlp,0.7107333520651868,0.665289544785664,0.6693872134302113,0.7124858437146093,0.7269609182554853,7
full_fusion_tiv_mlp,0.6906434391683057,0.6238940860120826,0.6440065027703128,0.6911098527746319,0.6690072759724712,7
image_fusion_lr,0.644703568418095,0.5697591218843947,0.5947048870309546,0.6453850509626274,0.6287738817492637,7
image_fusion_mlp,0.6538353470075864,0.5704961459296894,0.5934773232474039,0.6548697621744054,0.6209168265237874,7
structural_lr,0.5986232087665074,0.5679583719027087,0.5089413091801864,0.5995186862967158,0.6262528317749032,7
structural_mlp,0.5703849395897724,0.5754847397461998,0.588699777711423,0.5719139297848245,0.6634564134224575,7
structural_tiv_lr,0.5976397864568699,0.5470383676877735,0.5027703128628778,0.5986693091732729,0.6191870480962163,7
tangent_lr,0.6285473447597639,0.5557783657983755,0.5751965760923659,0.6285390713476784,0.6092008232288368,7
tangent_mlp,0.6417533014891823,0.6021015288508619,0.5926810656580738,0.6414212910532276,0.607386584835651,7
tiv_lr,0.4304579938184884,0.5617033736334003,0.4690288975150127,0.4279445073612685,0.4797180564200937,7
