cohort_a,cohort_b,site,common_n,total_shift,common_subject_model_shift,evaluation_composition_shift,identity_residual
primary,warning_free,KKI,72,-0.05130249867091963,-0.07251461988304087,0.021212121212121238,0.0
primary,warning_free,NYU,113,-0.14496855345911963,-0.14496855345911963,0.0,0.0
primary,warning_free,NeuroIMAGE,26,0.006526806526806483,0.012121212121212088,-0.005594405594405605,0.0
primary,warning_free,OHSU,26,-0.15384615384615385,-0.20915032679738566,0.0553041729512318,0.0
primary,warning_free,Peking_1,48,-0.05681818181818188,-0.03232323232323242,-0.02449494949494946,0.0
primary,warning_free,Peking_2,13,0.13888888888888906,0.17500000000000016,-0.036111111111111094,0.0
primary,warning_free,Peking_3,4,0.11111111111111105,0.0,0.11111111111111105,0.0
primary,include_holds,KKI,82,-0.11212121212121218,-0.11212121212121218,0.0,0.0
primary,include_holds,NYU,139,-0.05082070707070696,-0.04566401340594883,-0.005156693664758127,0.0
primary,include_holds,NeuroIMAGE,28,0.03076923076923077,0.03076923076923077,0.0,0.0
primary,include_holds,OHSU,32,-0.15384615384615385,-0.15384615384615385,0.0,0.0
primary,include_holds,Peking_1,49,-0.14872994652406413,-0.1477272727272727,-0.00100267379679142,0.0
primary,include_holds,Peking_2,14,0.288888888888889,0.288888888888889,0.0,0.0
primary,include_holds,Peking_3,6,-0.22222222222222232,-0.22222222222222232,0.0,0.0
warning_free,include_holds,KKI,72,-0.06081871345029255,-0.06081871345029255,0.0,0.0
warning_free,include_holds,NYU,113,0.09414784638841267,0.11194968553459139,-0.017801839146178722,0.0
warning_free,include_holds,NeuroIMAGE,26,0.024242424242424288,0.024242424242424288,0.0,0.0
warning_free,include_holds,OHSU,26,0.0,0.0,0.0,0.0
warning_free,include_holds,Peking_1,48,-0.09191176470588225,-0.09292929292929297,0.0010175282234107241,0.0
warning_free,include_holds,Peking_2,13,0.1499999999999999,0.1499999999999999,0.0,0.0
warning_free,include_holds,Peking_3,4,-0.33333333333333337,-0.5,0.16666666666666663,0.0
