framework,cohort,unit,alpha
cv,primary,repeat1_fold1,0.5
cv,primary,repeat1_fold2,0.0
cv,primary,repeat1_fold3,0.0
cv,primary,repeat2_fold1,0.25
cv,primary,repeat2_fold2,0.5
cv,primary,repeat2_fold3,0.25
cv,primary,repeat3_fold1,0.25
cv,primary,repeat3_fold2,0.0
cv,primary,repeat3_fold3,0.0
cv,primary,repeat4_fold1,0.0
cv,primary,repeat4_fold2,0.75
cv,primary,repeat4_fold3,0.5
cv,primary,repeat5_fold1,0.0
cv,primary,repeat5_fold2,0.0
cv,primary,repeat5_fold3,0.75
loso,primary,site_KKI,0.5
loso,primary,site_NYU,0.0
loso,primary,site_NeuroIMAGE,0.25
loso,primary,site_OHSU,0.5
loso,primary,site_Peking_1,0.25
loso,primary,site_Peking_2,0.5
loso,primary,site_Peking_3,0.5
cv,warning_free,repeat1_fold1,0.75
cv,warning_free,repeat1_fold2,0.0
cv,warning_free,repeat1_fold3,0.0
cv,warning_free,repeat2_fold1,0.75
cv,warning_free,repeat2_fold2,0.25
cv,warning_free,repeat2_fold3,0.0
cv,warning_free,repeat3_fold1,0.25
cv,warning_free,repeat3_fold2,0.0
cv,warning_free,repeat3_fold3,0.0
cv,warning_free,repeat4_fold1,0.0
cv,warning_free,repeat4_fold2,0.75
cv,warning_free,repeat4_fold3,0.25
cv,warning_free,repeat5_fold1,0.25
cv,warning_free,repeat5_fold2,0.0
cv,warning_free,repeat5_fold3,0.0
loso,warning_free,site_KKI,0.25
loso,warning_free,site_NYU,1.0
loso,warning_free,site_NeuroIMAGE,0.25
loso,warning_free,site_OHSU,0.0
loso,warning_free,site_Peking_1,0.0
loso,warning_free,site_Peking_2,0.25
loso,warning_free,site_Peking_3,0.25
cv,include_holds,repeat1_fold1,0.25
cv,include_holds,repeat1_fold2,0.0
cv,include_holds,repeat1_fold3,0.25
cv,include_holds,repeat2_fold1,0.5
cv,include_holds,repeat2_fold2,0.5
cv,include_holds,repeat2_fold3,0.25
cv,include_holds,repeat3_fold1,0.25
cv,include_holds,repeat3_fold2,0.0
cv,include_holds,repeat3_fold3,0.0
cv,include_holds,repeat4_fold1,0.0
cv,include_holds,repeat4_fold2,0.5
cv,include_holds,repeat4_fold3,0.25
cv,include_holds,repeat5_fold1,0.0
cv,include_holds,repeat5_fold2,0.0
cv,include_holds,repeat5_fold3,0.75
loso,include_holds,site_KKI,0.0
loso,include_holds,site_NYU,0.25
loso,include_holds,site_NeuroIMAGE,0.0
loso,include_holds,site_OHSU,0.0
loso,include_holds,site_Peking_1,0.5
loso,include_holds,site_Peking_2,0.0
loso,include_holds,site_Peking_3,0.75
