Characteristic,All,Control (label 0),ADHD (label 1)
"Participants, n",350,197,153
"Recorded male sex, n (%)",213 (60.9%),97 (49.2%),116 (75.8%)
"Recorded female sex, n (%)",137 (39.1%),100 (50.8%),37 (24.2%)
"Age (years), mean (SD)",11.34 (2.87); missing 0,11.36 (2.85); missing 0,11.31 (2.91); missing 0
"Age (years), median [Q1, Q3]","10.81 [9.17, 12.79]; missing 0","10.82 [9.25, 12.77]; missing 0","10.78 [9.17, 12.79]; missing 0"
"Mean FD (metadata scale), median [Q1, Q3]","0.129 [0.096, 0.188]; missing 3","0.115 [0.090, 0.164]; missing 2","0.152 [0.102, 0.203]; missing 1"
"Frames with FD > 0.2 (%), median [Q1, Q3]","13.7 [5.2, 28.6]; missing 3","10.0 [4.6, 21.2]; missing 2","18.5 [7.9, 33.6]; missing 1"
"Mean DVARS (metadata scale), median [Q1, Q3]","1.111 [1.063, 1.177]; missing 3","1.117 [1.073, 1.197]; missing 2","1.102 [1.055, 1.162]; missing 1"
"TIV (mL), mean (SD)",1537.5 (134.4); missing 0,1533.7 (138.4); missing 0,1542.4 (129.2); missing 0
"KKI, n (%)",82 (23.4%),60 (30.5%),22 (14.4%)
"NYU, n (%)",139 (39.7%),62 (31.5%),77 (50.3%)
"NeuroIMAGE, n (%)",28 (8.0%),15 (7.6%),13 (8.5%)
"OHSU, n (%)",32 (9.1%),19 (9.6%),13 (8.5%)
"Peking_1, n (%)",49 (14.0%),33 (16.8%),16 (10.5%)
"Peking_2, n (%)",14 (4.0%),5 (2.5%),9 (5.9%)
"Peking_3, n (%)",6 (1.7%),3 (1.5%),3 (2.0%)
