Model,CV mean_auc,CV min_repeat_auc,CV max_repeat_auc,CV within_site_auc,CV mean_ap,CV mean_brier,LOSO pair_weighted_auc,LOSO macro_auc,LOSO pooled_auc,LOSO pair_weighted_auc_drop_small,LOSO macro_auc_drop_small,LOSO n_sites
full_covariates_lr,0.7102754491549421,0.6934473904462607,0.7204803097809224,0.6688616326654252,0.6748202728316557,0.2235664406990481,0.6705535262714245,0.7108720119452597,0.6682591818453271,0.670158550396376,0.6796652611678079,7
full_covariates_tiv_lr,0.7115063824769622,0.7001199639265479,0.7240600024290877,0.672874505441454,0.6742609409485587,0.2224811057879412,0.6694296150604102,0.6946106138047686,0.6696858100262101,0.670158550396376,0.6746770815488982,7
full_functional_lr,0.6939775930672918,0.6657012841421038,0.7155868337175219,0.6541902951702487,0.6428929069882316,0.2276133351790779,0.6375386344478786,0.6746530583572786,0.5950366610265088,0.636466591166478,0.6511809483668567,7
full_functional_mlp,0.7035151693306192,0.6845638370248922,0.7177881649239516,0.6598916178898003,0.655869904163397,0.2244145668218533,0.6831975273953358,0.6807157852119046,0.6306360107494774,0.682757644394111,0.6685576548522218,7
full_functional_tiv_mlp,0.7065179387228773,0.69229359619997,0.7186967927542901,0.6615448000961704,0.6586498218715816,0.2237433930141129,0.6792638381567856,0.680725120474696,0.6307023655485884,0.6792185730464326,0.6641262797756855,7
full_fusion_lr,0.6865638817308503,0.6660593452426932,0.7155868337175219,0.6508402515880743,0.6360920729245824,0.2329318895456068,0.6458274796291092,0.6057617157817254,0.5955674994193955,0.6466591166477916,0.6658441798721934,7
full_fusion_mlp,0.6923188143168779,0.6822681074122925,0.711277270269501,0.6517289330442657,0.6401916550383678,0.2271279843216698,0.6909244169710593,0.61149027388113,0.6341859925019078,0.692242355605889,0.6783086056558043,7
full_fusion_structural_mlp,0.692124262371625,0.6780180127606599,0.7098032136657276,0.6468495319694012,0.643455933809894,0.2295148104602655,0.7107333520651868,0.665289544785664,0.6693872134302113,0.7124858437146093,0.7269609182554853,7
full_fusion_tiv_mlp,0.6981631824564694,0.6897257981718562,0.7139151370272346,0.6556730461380156,0.6455729764975817,0.2260713141541705,0.6906434391683057,0.6238940860120826,0.6440065027703128,0.6911098527746319,0.6690072759724712,7
image_fusion_lr,0.6321311409649853,0.6129064109678705,0.6450182850918145,0.5978828038094385,0.5736023947207312,0.258402071074802,0.644703568418095,0.5697591218843947,0.5947048870309546,0.6453850509626274,0.6287738817492637,7
image_fusion_mlp,0.6403158901767254,0.6222215913941774,0.6557166922163157,0.6062330742869358,0.5766584397388375,0.2581367897683543,0.6538353470075864,0.5704961459296894,0.5934773232474039,0.6548697621744054,0.6209168265237874,7
structural_lr,0.617601109801455,0.5724259298784826,0.6439605642551555,0.5808662668465138,0.558556050708314,0.2856967814854249,0.5986232087665074,0.5679583719027087,0.5089413091801864,0.5995186862967158,0.6262528317749032,7
structural_mlp,0.6255664731290491,0.5977832856654999,0.6456692862330118,0.5809334987905844,0.5626381644456128,0.2549866348202498,0.5703849395897724,0.5754847397461998,0.588699777711423,0.5719139297848245,0.6634564134224575,7
structural_tiv_lr,0.6140529538986375,0.570909167876149,0.6357363315696649,0.5786680614327306,0.5574684545864079,0.2948053699971761,0.5976397864568699,0.5470383676877735,0.5027703128628778,0.5986693091732729,0.6191870480962163,7
tangent_lr,0.615238094906559,0.6030340113549048,0.6352818709581315,0.5737707600144459,0.5580171859589711,0.2513687443712703,0.6285473447597639,0.5557783657983755,0.5751965760923659,0.6285390713476784,0.6092008232288368,7
tangent_mlp,0.6204588868030966,0.6136164435219564,0.6390110555591371,0.5801378754765734,0.5584253095125569,0.2523526843528632,0.6417533014891823,0.6021015288508619,0.5926810656580738,0.6414212910532276,0.607386584835651,7
tiv_lr,0.5014702692579058,0.4415000259363005,0.5299226808526991,0.5044065633543451,0.4429293748223112,0.2503269235873845,0.4304579938184884,0.5617033736334003,0.4690288975150127,0.4279445073612685,0.4797180564200937,7
