cohort,site,variable,n_total,n_missing
reviewed,ALL,participant_age,378,0
reviewed,ALL,mean_fd,378,3
reviewed,ALL,pct_fd_gt_0p2,378,3
reviewed,ALL,mean_dvars,378,3
reviewed,ALL,max_fd,378,3
reviewed,ALL,n_volumes,378,3
reviewed,ALL,total_intracranial_mm3,378,0
reviewed,ALL,participant_sex_male,378,0
reviewed,ALL,label,378,0
reviewed,KKI,participant_age,82,0
reviewed,KKI,mean_fd,82,0
reviewed,KKI,pct_fd_gt_0p2,82,0
reviewed,KKI,mean_dvars,82,0
reviewed,KKI,max_fd,82,0
reviewed,KKI,n_volumes,82,0
reviewed,KKI,total_intracranial_mm3,82,0
reviewed,KKI,participant_sex_male,82,0
reviewed,KKI,label,82,0
reviewed,NYU,participant_age,162,0
reviewed,NYU,mean_fd,162,3
reviewed,NYU,pct_fd_gt_0p2,162,3
reviewed,NYU,mean_dvars,162,3
reviewed,NYU,max_fd,162,3
reviewed,NYU,n_volumes,162,3
reviewed,NYU,total_intracranial_mm3,162,0
reviewed,NYU,participant_sex_male,162,0
reviewed,NYU,label,162,0
reviewed,NeuroIMAGE,participant_age,29,0
reviewed,NeuroIMAGE,mean_fd,29,0
reviewed,NeuroIMAGE,pct_fd_gt_0p2,29,0
reviewed,NeuroIMAGE,mean_dvars,29,0
reviewed,NeuroIMAGE,max_fd,29,0
reviewed,NeuroIMAGE,n_volumes,29,0
reviewed,NeuroIMAGE,total_intracranial_mm3,29,0
reviewed,NeuroIMAGE,participant_sex_male,29,0
reviewed,NeuroIMAGE,label,29,0
reviewed,OHSU,participant_age,35,0
reviewed,OHSU,mean_fd,35,0
reviewed,OHSU,pct_fd_gt_0p2,35,0
reviewed,OHSU,mean_dvars,35,0
reviewed,OHSU,max_fd,35,0
reviewed,OHSU,n_volumes,35,0
reviewed,OHSU,total_intracranial_mm3,35,0
reviewed,OHSU,participant_sex_male,35,0
reviewed,OHSU,label,35,0
reviewed,Peking_1,participant_age,50,0
reviewed,Peking_1,mean_fd,50,0
reviewed,Peking_1,pct_fd_gt_0p2,50,0
reviewed,Peking_1,mean_dvars,50,0
reviewed,Peking_1,max_fd,50,0
reviewed,Peking_1,n_volumes,50,0
reviewed,Peking_1,total_intracranial_mm3,50,0
reviewed,Peking_1,participant_sex_male,50,0
reviewed,Peking_1,label,50,0
reviewed,Peking_2,participant_age,14,0
reviewed,Peking_2,mean_fd,14,0
reviewed,Peking_2,pct_fd_gt_0p2,14,0
reviewed,Peking_2,mean_dvars,14,0
reviewed,Peking_2,max_fd,14,0
reviewed,Peking_2,n_volumes,14,0
reviewed,Peking_2,total_intracranial_mm3,14,0
reviewed,Peking_2,participant_sex_male,14,0
reviewed,Peking_2,label,14,0
reviewed,Peking_3,participant_age,6,0
reviewed,Peking_3,mean_fd,6,0
reviewed,Peking_3,pct_fd_gt_0p2,6,0
reviewed,Peking_3,mean_dvars,6,0
reviewed,Peking_3,max_fd,6,0
reviewed,Peking_3,n_volumes,6,0
reviewed,Peking_3,total_intracranial_mm3,6,0
reviewed,Peking_3,participant_sex_male,6,0
reviewed,Peking_3,label,6,0
primary,ALL,participant_age,350,0
primary,ALL,mean_fd,350,3
primary,ALL,pct_fd_gt_0p2,350,3
primary,ALL,mean_dvars,350,3
primary,ALL,max_fd,350,3
primary,ALL,n_volumes,350,3
primary,ALL,total_intracranial_mm3,350,0
primary,ALL,participant_sex_male,350,0
primary,ALL,label,350,0
primary,KKI,participant_age,82,0
primary,KKI,mean_fd,82,0
primary,KKI,pct_fd_gt_0p2,82,0
primary,KKI,mean_dvars,82,0
primary,KKI,max_fd,82,0
primary,KKI,n_volumes,82,0
primary,KKI,total_intracranial_mm3,82,0
primary,KKI,participant_sex_male,82,0
primary,KKI,label,82,0
primary,NYU,participant_age,139,0
primary,NYU,mean_fd,139,3
primary,NYU,pct_fd_gt_0p2,139,3
primary,NYU,mean_dvars,139,3
primary,NYU,max_fd,139,3
primary,NYU,n_volumes,139,3
primary,NYU,total_intracranial_mm3,139,0
primary,NYU,participant_sex_male,139,0
primary,NYU,label,139,0
primary,NeuroIMAGE,participant_age,28,0
primary,NeuroIMAGE,mean_fd,28,0
primary,NeuroIMAGE,pct_fd_gt_0p2,28,0
primary,NeuroIMAGE,mean_dvars,28,0
primary,NeuroIMAGE,max_fd,28,0
primary,NeuroIMAGE,n_volumes,28,0
primary,NeuroIMAGE,total_intracranial_mm3,28,0
primary,NeuroIMAGE,participant_sex_male,28,0
primary,NeuroIMAGE,label,28,0
primary,OHSU,participant_age,32,0
primary,OHSU,mean_fd,32,0
primary,OHSU,pct_fd_gt_0p2,32,0
primary,OHSU,mean_dvars,32,0
primary,OHSU,max_fd,32,0
primary,OHSU,n_volumes,32,0
primary,OHSU,total_intracranial_mm3,32,0
primary,OHSU,participant_sex_male,32,0
primary,OHSU,label,32,0
primary,Peking_1,participant_age,49,0
primary,Peking_1,mean_fd,49,0
primary,Peking_1,pct_fd_gt_0p2,49,0
primary,Peking_1,mean_dvars,49,0
primary,Peking_1,max_fd,49,0
primary,Peking_1,n_volumes,49,0
primary,Peking_1,total_intracranial_mm3,49,0
