cohort,contrast,site,n,pos,pairs,delta,ci95_lo,ci95_hi
primary,P,KKI,82,22,1320,0.11212121212121218,0.013015177819865355,0.2140444535818713
primary,P,NYU,139,77,4774,0.0,0.0,0.0
primary,P,NeuroIMAGE,28,13,195,-0.03076923076923077,-0.15625,0.0867458137100994
primary,P,OHSU,32,13,247,0.15384615384615385,0.004045407636738943,0.3176470588235294
primary,P,Peking_1,49,16,528,0.05681818181818188,-0.04925010237510233,0.16239316239316237
primary,P,Peking_2,14,9,45,-0.28888888888888886,-0.7878787878787878,0.25
primary,P,Peking_3,6,3,9,-0.11111111111111105,-0.78125,0.5
primary,S1,KKI,82,22,1320,0.0,0.0,0.0
primary,S1,NYU,139,77,4774,0.029744449099287862,-0.05116356616356622,0.1083969335990578
primary,S1,NeuroIMAGE,28,13,195,0.03076923076923077,-0.045924254317111564,0.14360962566844912
primary,S1,OHSU,32,13,247,-0.00809716599190291,-0.08225362872421706,0.05882352941176461
primary,S1,Peking_1,49,16,528,-0.10795454545454541,-0.32765151515151525,0.11752192982456143
primary,S1,Peking_2,14,9,45,0.06666666666666665,-0.20833333333333326,0.35427083333333337
primary,S1,Peking_3,6,3,9,-0.2222222222222222,-0.8,0.0
primary,S2,KKI,82,22,1320,0.048484848484848464,-0.006877424046541669,0.09985796219279117
primary,S2,NYU,139,77,4774,0.0,0.0,0.0
primary,S2,NeuroIMAGE,28,13,195,-0.05641025641025643,-0.17708333333333326,0.048128342245989275
primary,S2,OHSU,32,13,247,0.05668016194331993,-0.06666666666666665,0.17727813852813848
primary,S2,Peking_1,49,16,528,0.0,0.0,0.0
primary,S2,Peking_2,14,9,45,-0.19999999999999996,-0.6888888888888889,0.3030303030303031
primary,S2,Peking_3,6,3,9,-0.3333333333333333,-1.0,0.5
primary,S3,KKI,82,22,1320,0.048484848484848464,-0.006877424046541669,0.09985796219279117
primary,S3,NYU,139,77,4774,0.0,0.0,0.0
primary,S3,NeuroIMAGE,28,13,195,-0.03589743589743588,-0.13903743315508021,0.06632653061224492
primary,S3,OHSU,32,13,247,0.06072874493927127,-0.07693236714975851,0.20238215731636777
primary,S3,Peking_1,49,16,528,0.0,0.0,0.0
primary,S3,Peking_2,14,9,45,-0.22222222222222232,-0.7272727272727273,0.3030303030303031
primary,S3,Peking_3,6,3,9,-0.3333333333333333,-1.0,0.5
primary,S4,KKI,82,22,1320,0.07196969696969702,-0.1108093325496343,0.2406534798283931
primary,S4,NYU,139,77,4774,0.0,0.0,0.0
primary,S4,NeuroIMAGE,28,13,195,-0.02051282051282044,-0.2142857142857143,0.18461538461538463
primary,S4,OHSU,32,13,247,0.01619433198380571,-0.15418154761904757,0.17923295454545415
primary,S4,Peking_1,49,16,528,0.0,0.0,0.0
primary,S4,Peking_2,14,9,45,-0.1777777777777777,-0.6153846153846154,0.25
primary,S4,Peking_3,6,3,9,-0.1111111111111111,-0.75,0.5
primary,S5,KKI,82,22,1320,0.06893939393939397,-0.032016700636305045,0.16834414446002804
primary,S5,NYU,139,77,4774,0.0,0.0,0.0
primary,S5,NeuroIMAGE,28,13,195,-0.07692307692307698,-0.25,0.10526315789473684
primary,S5,OHSU,32,13,247,0.03238866396761142,-0.02858630952380953,0.09375
primary,S5,Peking_1,49,16,528,0.0,0.0,0.0
primary,S5,Peking_2,14,9,45,0.022222222222222254,-0.3030303030303031,0.31121527777777785
primary,S5,Peking_3,6,3,9,-0.4444444444444445,-1.0,0.0
primary,E1,KKI,82,22,1320,0.039393939393939426,-0.06799639724310776,0.14129840847347636
primary,E1,NYU,139,77,4774,-0.05697528278173436,-0.14743369824707533,0.02942729908864941
primary,E1,NeuroIMAGE,28,13,195,0.08717948717948709,-0.0834183673469388,0.26153846153846155
primary,E1,OHSU,32,13,247,0.19028340080971662,0.0,0.3833333333333333
primary,E1,Peking_1,49,16,528,-0.07386363636363635,-0.2365331056863315,0.07657097288676223
primary,E1,Peking_2,14,9,45,-0.1333333333333333,-0.5,0.19999999999999996
primary,E1,Peking_3,6,3,9,0.0,-0.6,0.5
warning_free,P,KKI,72,15,855,0.06081871345029233,-0.010948509465041188,0.13067066383323206
warning_free,P,NYU,113,60,3180,-0.14496855345911952,-0.27452830188679245,-0.009514276706899784
warning_free,P,NeuroIMAGE,26,11,165,-0.024242424242424288,-0.1479510073260073,0.07144024276377219
warning_free,P,OHSU,26,9,153,0.0,0.0,0.0
warning_free,P,Peking_1,48,15,495,0.0,0.0,0.0
warning_free,P,Peking_2,13,8,40,-0.15000000000000002,-0.5240178571428572,0.15291666666666592
warning_free,P,Peking_3,4,2,4,0.0,0.0,0.0
warning_free,S1,KKI,72,15,855,0.0,0.0,0.0
warning_free,S1,NYU,113,60,3180,0.0,0.0,0.0
warning_free,S1,NeuroIMAGE,26,11,165,-0.07272727272727264,-0.2708672337278107,0.11309523809523803
warning_free,S1,OHSU,26,9,153,0.0326797385620915,-0.08333333333333326,0.15040442014126215
warning_free,S1,Peking_1,48,15,495,0.0,0.0,0.0
warning_free,S1,Peking_2,13,8,40,0.09999999999999998,-0.3823412698412698,0.611111111111111
warning_free,S1,Peking_3,4,2,4,-0.5,-1.0,0.0
warning_free,S2,KKI,72,15,855,0.07602339181286544,-0.08073339085418467,0.23148262178434595
warning_free,S2,NYU,113,60,3180,-0.07547169811320753,-0.17262336511006718,0.027296238244513934
warning_free,S2,NeuroIMAGE,26,11,165,-0.0060606060606061,-0.07884943181818188,0.0625
warning_free,S2,OHSU,26,9,153,-0.065359477124183,-0.23749999999999993,0.11114583333333314
warning_free,S2,Peking_1,48,15,495,0.0,0.0,0.0
warning_free,S2,Peking_2,13,8,40,-0.125,-0.5555555555555556,0.25
warning_free,S2,Peking_3,4,2,4,0.0,0.0,0.0
warning_free,S3,KKI,72,15,855,0.07602339181286544,-0.08073339085418467,0.23148262178434595
warning_free,S3,NYU,113,60,3180,-0.07547169811320753,-0.17262336511006718,0.027296238244513934
warning_free,S3,NeuroIMAGE,26,11,165,0.0,0.0,0.0
warning_free,S3,OHSU,26,9,153,0.02614379084967311,-0.06669172932330826,0.1333333333333333
warning_free,S3,Peking_1,48,15,495,0.0,0.0,0.0
warning_free,S3,Peking_2,13,8,40,-0.09999999999999998,-0.5,0.25
warning_free,S3,Peking_3,4,2,4,0.0,0.0,0.0
warning_free,S4,KKI,72,15,855,-0.01754385964912275,-0.17734008501391205,0.12723214285714285
warning_free,S4,NYU,113,60,3180,-0.004402515723270439,-0.14851424210997713,0.14345722356739296
warning_free,S4,NeuroIMAGE,26,11,165,0.0,0.0,0.0
warning_free,S4,OHSU,26,9,153,-0.04575163398692811,-0.38095238095238093,0.2572294372294368
warning_free,S4,Peking_1,48,15,495,0.0,0.0,0.0
warning_free,S4,Peking_2,13,8,40,-0.125,-0.5555555555555556,0.25
warning_free,S4,Peking_3,4,2,4,-0.25,-1.0,0.0
warning_free,S5,KKI,72,15,855,0.07836257309941519,-0.07596051007815713,0.2307749627421759
warning_free,S5,NYU,113,60,3180,-0.0877358490566037,-0.1822274264897216,0.007578616352201085
warning_free,S5,NeuroIMAGE,26,11,165,0.0,0.0,0.0
warning_free,S5,OHSU,26,9,153,-0.006535947712418277,-0.07499999999999996,0.05231175310360821
warning_free,S5,Peking_1,48,15,495,0.0,0.0,0.0
warning_free,S5,Peking_2,13,8,40,-0.125,-0.5555555555555556,0.25
warning_free,S5,Peking_3,4,2,4,0.0,0.0,0.0
warning_free,E1,KKI,72,15,855,0.005847953216374213,-0.1055619721808247,0.12613543251427192
warning_free,E1,NYU,113,60,3180,0.01037735849056598,-0.043000880869935004,0.06515001814255879
warning_free,E1,NeuroIMAGE,26,11,165,0.030303030303030276,-0.11670138888888887,0.17857142857142855
warning_free,E1,OHSU,26,9,153,0.11764705882352938,-0.05953947368421048,0.3095238095238095
warning_free,E1,Peking_1,48,15,495,-0.018181818181818188,-0.16890649089777035,0.12338803511479003
warning_free,E1,Peking_2,13,8,40,-0.07500000000000001,-0.41666666666666674,0.3055555555555555
warning_free,E1,Peking_3,4,2,4,0.25,0.0,1.0
include_holds,P,KKI,82,22,1320,0.0,0.0,0.0
include_holds,P,NYU,160,88,6336,-0.05082070707070707,-0.10276292156891255,0.0001568868835413294
include_holds,P,NeuroIMAGE,29,14,210,0.0,0.0,0.0
include_holds,P,OHSU,34,13,273,0.0,0.0,0.0
include_holds,P,Peking_1,50,16,544,-0.09191176470588236,-0.23430357142857147,0.04167261904761898
include_holds,P,Peking_2,14,9,45,0.0,0.0,0.0
include_holds,P,Peking_3,6,3,9,-0.33333333333333326,-1.0,0.0
include_holds,S1,KKI,82,22,1320,0.0,0.0,0.0
include_holds,S1,NYU,160,88,6336,0.045928030303030276,0.010904063349184857,0.08127013437950938
